locus_tag,old_locus_tag,gene_name,gene_biotype,product,chr,start,end,strand,length_bp,SRR20281608_read_count,SRR20281608_TPM,SRR20281609_read_count,SRR20281609_TPM,SRR20281610_read_count,SRR20281610_TPM,SRR20281611_read_count,SRR20281611_TPM,SRR20280855_read_count,SRR20280855_TPM,SRR20280860_read_count,SRR20280860_TPM,SRR20281612_read_count,SRR20281612_TPM,SRR20281613_read_count,SRR20281613_TPM,SRR20650029_read_count,SRR20650029_TPM,SRR20650030_read_count,SRR20650030_TPM,SRR20650031_read_count,SRR20650031_TPM
MA_RS00055,MA_0012,,protein_coding,,NC_003552.1,17684,18310,-,627,2023,40.94670637710256,2006,45.43856594806581,1283,31.41389294037386,985,25.73898051784676,1295,25.84052222414386,1606,29.89533103543494,749,27.265830211477827,693,26.892998233298606,29,1.9489187406262758,38,2.5446999467725133,25,1.7489795603488847
MA_RS00060,MA_0013,,protein_coding,,NC_003552.1,18403,19551,-,1149,1518,16.7664985288146,1314,16.24189001149752,852,11.38366770136591,751,10.70884320446571,893,9.72367621268292,1046,10.6251977717056,529,10.508484607888672,649,13.743526926719099,70,2.5670911295005325,54,1.9733051806564925,50,1.908807979701916
MA_RS00065,MA_0014,,protein_coding,,NC_003552.1,19622,21523,-,1902,1889,12.60410689093288,1725,12.88071038338174,1027,8.289390036660757,1043,8.984552428611927,1040,6.841036150493785,1045,6.412555612425574,838,10.05629384899877,742,9.492200918658149,73,1.6172442742159843,51,1.1258491089427287,52,1.199237215260043
MA_RS00070,MA_0015,,protein_coding,,NC_003552.1,21713,22783,-,1071,3072,36.40175923103629,2145,28.44454913599209,1875,26.8766072514939,1773,27.12326182300827,913,10.66547901159266,1383,15.07155545869544,1345,28.664030851957506,1410,32.033409927085046,30,1.180307206000845,39,1.5289583713801236,18,0.7372169306478997
MA_RS00075,MA_0016,,protein_coding,,NC_003552.1,23127,23492,-,366,3507,121.6032865743954,2892,112.2221104671948,2125,89.13340404880684,2388,106.8995528385885,2142,73.2213007675187,1887,60.17501143125134,1774,110.63103596258166,1194,79.37738198290556,6,0.6907699549873797,5,0.5736003978380665,5,0.5992405378900278
MA_RS26355,,,protein_coding,,NC_003552.1,24658,25065,+,408,1694,52.69190197285502,2090,72.75240452090286,940,35.36961514296598,665,26.70448049621479,2727,83.62267066769945,4260,121.8638242348965,591,33.06220138509709,358,21.34992693544551,23,2.3753682520767008,13,1.337838574957608,6,0.6450648143169123
MA_RS00090,MA_0018,,protein_coding,,NC_003552.1,25197,25577,+,381,5169,172.1758314034969,5763,214.8250257564668,4273,172.1751860345245,3630,156.1005024139638,6113,200.7374850724714,9772,299.353161616176,2722,163.06756805030656,2541,162.27559826339498,235,25.989992925837505,106,11.68157534620768,110,12.664264596038068
MA_RS00095,MA_0019,,protein_coding,,NC_003552.1,25854,27983,+,2130,19368,115.3973419091365,15674,104.5108711036093,13633,98.2594830704098,10250,78.84368487074745,13321,78.24494391048395,16172,88.61545993243318,7437,79.69344980179575,7170,81.90550300295706,844,16.696525991817026,616,12.142878055866587,499,10.276215624132144
MA_RS00100,MA_0020,,protein_coding,,NC_003552.1,28098,28652,+,555,2255,51.56371453152678,2290,58.60082468379667,2360,65.28022815575825,1848,54.55463258811354,3399,76.62266272913195,4577,96.25278314826096,1229,50.54327148955657,1073,47.041403258881054,156,11.843904309297127,54,4.085275049683441,87,6.87604223693487
MA_RS00105,MA_0021,,protein_coding,,NC_003552.1,28677,30131,+,1455,2501,21.81430247378743,2142,20.90825084180264,2106,22.22071439084831,1457,16.4066234223268,1053,9.05449923898087,2027,16.25983454551201,1161,18.212672387884556,959,16.037222085057564,95,2.7512109203792887,61,1.7603027466849035,45,1.3566311558829907
MA_RS00110,MA_0022,,protein_coding,,NC_003552.1,30256,30723,+,468,1820,49.3532966136934,1538,46.67364418116858,1485,48.71281692766918,1061,37.1443003439542,975,26.06500552531886,1114,27.78207660238918,795,38.77267141477609,764,39.721078790655525,5356,482.23418079841184,3011,270.13784274696286,3340,313.0494030505494
MA_RS00115,MA_0023,,protein_coding,,NC_003552.1,31065,32102,+,1038,4066,49.71193328603074,2876,39.35072668458093,2052,30.34887848105338,1456,22.98193928436032,1405,16.93472035286613,1540,17.31604612591706,1165,25.617280339264212,1293,30.30921587289874,8694,352.9275465397659,5316,215.034500126401,5400,228.19633893754352
MA_RS00120,MA_0024,,protein_coding,,NC_003552.1,32254,33018,+,765,4878,80.92281710305762,4375,81.22278016687719,3434,68.91305441188378,2624,56.19854181218454,3919,64.09333750821936,4321,65.92470541708765,1932,57.643472601022054,2069,65.80707460623726,5084,280.0318189810538,2484,136.33604185414148,3006,172.36131838547894
MA_RS00125,MA_0025,,protein_coding,,NC_003552.1,33066,33890,+,825,2258,34.73446558557497,2227,38.33782733719859,2282,42.46433577891597,2055,40.81130941398282,1811,27.46398545824144,2738,38.73511609278696,1446,40.00541624727059,1045,30.820229721335867,2740,139.94580639586746,1124,57.20485480344611,1451,77.14818799881346
MA_RS00130,MA_0026,,protein_coding,,NC_003552.1,34650,35105,+,456,1983,55.18848901407182,1610,50.14437954512996,1196,40.26511842591177,979,35.1755179183619,2118,58.11124389750037,1543,39.4935751606816,724,36.239164186283276,599,31.962114963781477,1519,140.36415188415705,1693,155.8879839103438,1492,143.52126272222947
MA_RS00135,MA_0027,,protein_coding,,NC_003552.1,35473,36759,+,1287,217,2.13979327975454,198,2.184982042291378,205,2.445332713846877,159,2.024143176998961,219,2.128945905844226,247,2.239978103734332,137,2.4296654014062096,75,1.417934749785419,40,1.3096182518797255,16,0.5219897326712849,16,0.5453228577908319
MA_RS00145,MA_0029,,protein_coding,,NC_003552.1,37882,39249,-,1368,25407,235.6990990722008,16769,174.0933955677607,10898,122.2991250294277,8520,102.0413390073011,5184,47.41087320815895,9335,79.64409680815785,6298,105.0802283817735,5785,102.89417644155581,111,3.419008307909026,101,3.0999579395441472,78,2.5010407712989053
MA_RS00155,MA_0030,,protein_coding,,NC_003552.1,40272,41054,-,783,6348,102.8882518567244,5650,102.4820759938069,5434,106.5419192199205,3718,77.79833004321154,6804,108.718036839399,5531,82.44555826333969,2706,78.88064975227316,2354,73.15065614440877,185,9.955733003873027,270,14.478465214395333,167,9.35549940151067
MA_RS00160,MA_0031,porB,protein_coding,,NC_003552.1,41309,42199,-,891,4971,70.80382033670128,4811,76.68649375478654,4654,80.1883576439912,3858,70.94261139008097,2103,29.52980827999761,2322,30.41654477702409,2758,70.65143820115023,2710,74.00569071843007,1581,74.76828869689999,698,32.892603015689154,1203,59.22433453465846
MA_RS00165,MA_0032,porA,protein_coding,,NC_003552.1,42196,43407,-,1212,10487,109.8093397993924,9351,109.5763085837734,8255,104.5627752493813,7120,96.24984200883904,4848,50.04481060861222,6233,60.02330070075704,5254,98.94455456648745,5518,110.77776680714649,8517,296.10606444247384,4467,154.75114020366462,6162,223.01359590413807
MA_RS00170,MA_0033,porD,protein_coding,,NC_003552.1,43407,43667,-,261,803,39.0450218530008,601,32.70357221536883,333,19.58692994124044,317,19.8994652692561,270,12.94262343326178,296,13.23660382170415,228,19.938789516095657,260,24.238535171044536,190,30.674420606527708,133,21.395954150161995,128,21.512046528024538
MA_RS00175,MA_0034,,protein_coding,,NC_003552.1,43664,44212,-,549,5562,128.5728504755797,4321,111.7823281071344,3197,89.39905654714836,3227,96.3050968760818,2369,53.98732073397192,2595,55.16839945737404,2158,89.7188183416953,2445,108.36275764835516,801,61.47852599387679,585,44.74083103136918,649,51.85428121208374
MA_RS00180,MA_0035,dusB,protein_coding,,NC_003552.1,44772,45743,-,972,3546,46.29809253760762,2884,42.1395816510228,2131,33.65734299406957,1837,30.96460489803366,1338,17.22221105821069,1568,18.82804207271431,1347,31.630479811047948,1244,31.140647964052807,247,10.707644970982358,197,8.509822198543267,169,7.6266305001337
MA_RS00185,MA_0036,,protein_coding,,NC_003552.1,46129,46686,-,558,7392,168.1196168518072,5838,148.5905260910948,5537,152.3361475082244,4701,138.0316577130566,4094,91.793662469381,4827,100.9644459881,3429,140.261259781414,2706,117.99595589407872,279,21.06848362711508,255,19.18785846961532,169,13.285098290555474
MA_RS00190,MA_0037,,protein_coding,,NC_003552.1,47351,49258,+,1908,9385,62.42327341233324,8551,63.65019883837432,8016,64.49736644938125,7175,61.61212481251805,6361,41.7105660746046,8002,48.94919380509023,5300,63.40185262793575,4630,59.04405147707094,1430,31.580641076283616,770,16.944660809090557,949,21.817255030135733
MA_RS00195,MA_0038,,protein_coding,,NC_003552.1,49629,50060,+,432,4090,120.1517756845274,3794,124.7311160762677,2918,103.6965206135916,2293,86.96469124669578,1893,54.82339495492068,2993,80.86271832154102,1751,92.51386995959625,1535,86.45660201434677,262,25.555290325482186,216,20.993774560873234,193,19.596830146053602
MA_RS00200,MA_0039,,protein_coding,,NC_003552.1,50071,50922,+,852,3825,56.97475640262896,3759,62.66051494169761,2867,51.65956465247285,2349,45.17166238082579,2813,41.30752706632224,3885,53.22023587643812,1820,48.75691765472242,1557,44.4654352076723,123,6.08315372332196,95,4.681710289396614,61,3.1405268189983007
MA_RS00205,MA_0040,twy1,protein_coding,,NC_003552.1,51146,52183,+,1038,8397,102.6638228732907,7294,99.79979152897542,6470,95.69066460644024,4793,75.6541449106724,3709,44.70525109521741,4285,48.18133613607441,3566,78.4130658281684,4084,95.73305307418289,477,19.363519634169354,322,13.025039322930988,398,16.81891535132265
MA_RS00210,MA_0041,,protein_coding,,NC_003552.1,52548,52826,-,279,20887,950.0850749955893,21143,1076.275948319293,19001,1045.526147301345,17606,1033.901453178504,18676,837.4882463498582,12124,507.1858061569193,13807,1129.534682882463,9984,870.7107344024257,1059,159.9392412983145,741,111.5153186351761,626,98.41978141878968
MA_RS00215,MA_0042,prf1,protein_coding,,NC_003552.1,53371,54618,+,1248,44155,449.0099200503364,35352,402.3098185368999,26847,330.2507565800845,28104,368.9573810791077,27037,271.0459824569408,33135,309.8830032159444,20396,373.02236140366665,15694,305.97968449306995,1827,61.6860890813129,953,32.062607622615694,1244,43.72381632427584
MA_RS00220,MA_0043,argS,protein_coding,,NC_003552.1,54803,56512,+,1710,36483,270.7603489259213,32528,270.160890740205,28332,254.3570424175992,25043,239.9456575361354,17362,127.0289476296382,25162,171.7411688387247,17748,236.89601693486395,15123,215.18667316517187,2279,56.15798150432195,1181,28.998418428527824,1479,37.938864623088016
MA_RS00230,MA_0045,,protein_coding,,NC_003552.1,56958,57329,+,372,6589,224.7849341389119,5240,200.0550762377535,5899,243.4434533549799,4532,199.6041712685299,6059,203.7778948102026,5385,168.9538662666,3340,204.93114946190843,2506,163.91234227858163,309,35.000867961175054,354,39.95589351908132,278,32.78039045657771
MA_RS00235,MA_0046,,protein_coding,,NC_003552.1,57569,58264,+,696,3604,65.71525159941542,3160,64.48208498371392,2923,64.47364438991644,2386,56.16733927339715,2770,49.7931484862988,2912,48.83233572061126,1575,51.6506471839649,1539,53.80255619457338,64,3.8746636555613954,33,1.9907889669793586,46,2.899084395378307
MA_RS00240,MA_0047,,protein_coding,,NC_003552.1,58313,59023,+,711,1946,34.73472521166271,1467,29.30365156718626,1473,31.80502855893747,1280,29.49599292396224,1807,31.79710716236368,2081,34.16078532483851,897,28.795676864434615,788,26.966845459041373,40,2.370574810364566,40,2.362168726961827,58,3.5782498279407906
MA_RS00245,MA_0048,,protein_coding,,NC_003552.1,59191,59415,+,225,567,31.98093620567333,421,26.57423714991268,360,24.56306889928531,304,22.13674268943366,418,23.24303426044434,293,15.19884090175948,206,20.897250626167622,117,12.65251535928525,0,0.0,0,0.0,6,1.169717529961334
MA_RS00250,MA_0049,,protein_coding,,NC_003552.1,59484,59735,+,252,1145,57.66278022722341,934,52.63899197917044,995,60.61570822120258,575,37.38436045119936,1186,58.88208867243462,907,42.00801041533352,426,38.58455602785804,301,29.06293592143513,6,1.0032611251007182,11,1.8327898426159175,0,0.0
MA_RS00255,MA_0050,,protein_coding,,NC_003552.1,59888,61279,+,1392,5003,45.61229241840668,4131,42.14802105501934,2700,29.77742727553446,2061,24.25835839112982,3438,30.90051344691251,3589,30.09259150090553,1566,25.67775031431398,1190,20.800858307843512,216,6.538494918759853,215,6.485145877281244,222,6.995616693195481
MA_RS00260,MA_0051,,protein_coding,,NC_003552.1,61555,63327,-,1773,7638,54.67157063602469,4920,39.41101281019642,3429,29.69076538904728,1949,18.01049939124124,9496,67.00867477994665,7575,49.86539553664528,1442,18.563547510554997,1682,23.082922072885793,364,8.650793051629881,310,7.341308645088216,288,7.12518292362234
MA_RS00270,MA_0053,,protein_coding,,NC_003552.1,64281,65324,+,1044,4642,56.42807952728197,4029,54.80977223615683,3034,44.61467375504768,3031,47.56725491412873,3495,41.88376749930549,4468,49.9502921244714,2328,50.89638376477048,2048,47.731269259903094,385,15.539015701991008,252,10.134925650076735,357,14.999610567392109
MA_RS00275,MA_0054,,protein_coding,,NC_003552.1,65547,66581,+,1035,2282,27.98117338445923,2123,29.13203835033803,1671,24.78556046540202,1671,26.45201446942481,2494,30.14776755021229,2539,28.63173842526141,1269,27.98502642951321,1061,24.942992932370217,473,19.256797595411467,300,12.170304093259848,302,12.799083117692861
MA_RS00280,MA_0055,,protein_coding,,NC_003552.1,67212,67382,-,171,2438,180.9373490889993,1592,132.2233577405331,1417,127.214432128243,1009,96.67578503133036,1163,85.09081102019883,800,54.60334435695879,737,98.37297976166032,711,101.16889811574237,4,0.98566005273053,6,1.4732473376051392,2,0.5130340043690061
MA_RS00285,MAt4684,,tRNA,,NC_003552.1,67779,67852,-,74,47,8.06040326934066,62,11.89929409518142,36,7.46850067883675,52,11.51315298125773,46,7.777234081068116,46,7.255234910672938,38,11.72077491824542,12,3.9456908604839653,11,6.263603240493673,7,3.9717951871922335,2,1.1855245236094603
MA_RS00290,MA_0056,,protein_coding,,NC_003552.1,68403,68609,+,207,43084,2641.412958142071,42884,2942.294707055808,39152,2903.663265533872,31738,2512.070721815095,25354,1532.410782814921,30147,1699.80507740519,23557,2597.4912040978825,13061,1535.251794013607,1260,256.4858876344445,1329,269.57223566570565,901,190.9267200172395
MA_RS00295,MA_0057,,protein_coding,,NC_003552.1,68676,68882,+,207,9244,566.7352470769961,11898,816.3282908439047,10849,804.6036669334129,6990,553.2602667303393,12653,764.7548171869207,16951,955.7632887881176,4804,529.7086956949624,2956,347.46223896364916,102,20.763143284693125,99,20.08100175387875,57,12.078604928948561
MA_RS00300,MA_0058,,protein_coding,,NC_003552.1,68950,69156,+,207,30423,1865.186761339621,28404,1948.813983285449,20844,1545.871401378934,17615,1394.231702211005,18685,1129.332471282511,24499,1381.348876881605,12227,1348.1990470987312,12247,1439.5703790892462,708,144.12064162316403,311,63.082742883396875,394,83.49070775448655
MA_RS00305,MA_0059,,protein_coding,,NC_003552.1,69214,69420,+,207,58429,3582.191015952164,49601,3403.151752744034,52494,3893.157423910275,42943,3398.949303891411,21071,1273.543725041145,32507,1832.871053544648,30979,3415.871291410125,18987,2231.8218982418157,1499,305.1367821936764,1001,203.0412399558851,1215,257.4649998012719
MA_RS26360,,,protein_coding,,NC_003552.1,69507,69650,-,144,2222,195.8268304921907,2382,234.9310900055375,1295,138.0606520163823,687,78.16582148252944,1386,120.4203255269731,1188,96.28958506447452,580,91.93268631050685,445,75.19189816882927,68,19.89801231449758,92,26.82537860556025,50,15.230697004704874
MA_RS00310,MA_0060,,protein_coding,,NC_003552.1,69654,70403,-,750,335,5.668578639629929,240,4.544762647966064,211,4.319006281457667,169,3.691884389323312,195,3.252912689559794,200,3.112390628346652,140,4.260604496597282,132,4.28238981391193,13,0.7303740990733228,6,0.3359003929739718,2,0.11697175299613341
MA_RS00315,MA_0061,,protein_coding,,NC_003552.1,70391,71146,-,756,502,8.426991462610236,411,7.721136939128856,346,7.026142393479429,308,6.675004648677914,279,4.617229550199342,288,4.446272326209502,190,5.736358094908472,189,6.082940076579447,42,2.340942625235009,50,2.7769543069938143,28,1.624607680501853
MA_RS00320,MA_0062,,protein_coding,,NC_003552.1,71483,71908,+,426,3055,91.01065663269618,2704,90.14846097491372,2710,97.66126278911854,2260,86.92035502823865,1862,54.68511581762673,2141,58.65870013459666,1705,91.35224681461729,1135,64.82757734194998,201,19.881526803052264,129,12.714539522782383,105,10.811649704748248
MA_RS00325,MA_0063,,protein_coding,,NC_003552.1,72017,72781,-,765,3519,58.37789942305449,3315,61.54366085787379,2956,59.32061410644393,2219,47.52460529010575,2891,47.28089786584899,4072,62.12575803248805,1619,48.3047526610014,1539,48.94977661623931,270,14.871870795610647,165,9.056138045866886,182,10.43571521828249
MA_RS00330,MA_0064,,protein_coding,,NC_003552.1,72783,73571,-,789,4767,76.67588211541872,4693,84.47627973267087,5148,100.1668874314962,3900,80.98605709249733,2426,38.4691731737938,3508,51.89290078060861,3038,87.88509275300478,2295,70.77489214575326,937,50.04098646034685,517,27.51275398725339,482,26.79676090500775
MA_RS00335,MA_0065,,protein_coding,,NC_003552.1,73710,74723,-,1014,14050,175.844585990463,13908,194.799552847362,12520,189.5522821862993,9786,158.1211294856532,11956,147.5186774251893,14519,167.1183414680659,6956,156.576314868611,8746,209.86743159670155,767,31.872834205122814,430,17.80537092934022,407,17.6063252475689
MA_RS00345,MA_0067,,protein_coding,,NC_003552.1,75144,75665,+,522,4200,102.1102688559174,3084,83.90833337121255,3176,93.4055397798493,2162,67.85905979831496,2261,54.19124367149053,1688,37.74220819431859,1682,73.54614904840547,1459,68.00773618183457,90,7.264994354177614,122,9.813181978645726,72,6.0502630860069
MA_RS00350,MA_0068,,protein_coding,,NC_003552.1,75866,79369,-,3504,89005,322.3598457755711,83961,340.3100177349804,67249,294.6350278981232,74424,347.9938444706449,53297,190.2995341757424,72050,239.9911652101629,54675,356.14687935949183,47328,328.6454200277991,19318,232.30648784737966,11368,136.21987968493548,13025,163.05191382434052
MA_RS00355,MA_0069,thiL,protein_coding,,NC_003552.1,79587,80597,-,1011,16937,212.6062190960895,13703,192.4977824093688,13263,201.3971209268182,13772,223.1868023184058,8506,105.2624033226646,12541,144.7792688059917,10134,228.78850131685496,9476,228.0591104477422,2035,84.81575505673432,1231,51.12430560719081,1246,54.060387326848016
MA_RS00365,MA_0071,,protein_coding,,NC_003552.1,81193,81987,-,795,11592,185.0469264730784,10628,189.8653200573244,7693,148.5563593099072,6002,123.6948202786564,4583,72.1243292513427,8658,127.1088587746477,4507,129.39719990676517,3991,122.14849733649596,375,19.87592795010857,152,8.027808133969137,322,17.766464370167434
MA_RS00370,MA_0072,nrdD,protein_coding,,NC_003552.1,82020,84404,-,2385,158026,840.8737520943953,134467,800.7345374528995,115934,746.2512656629307,81578,560.4118654166521,78052,409.4441884301259,104229,510.0650358521119,58667,561.4485265091482,72247,737.063600356621,8078,142.71799642753516,3666,64.53935223493609,5384,99.02137077534316
MA_RS00375,,,protein_coding,,NC_003552.1,84492,84743,-,252,9848,495.9502704608701,8291,467.2696814767689,4467,272.1310237428261,3762,244.5912417694122,5473,271.7214766477527,4824,223.4251843920274,2824,255.78118831612935,4004,386.60463597816033,50,8.36050937583932,36,5.998221303106639,75,13.05488314688989
MA_RS00380,MA_0074,radB,protein_coding,,NC_003552.1,85487,86197,+,711,4512,80.53601241265268,3222,64.36016724572198,2866,61.88269643578737,2586,59.59112320419246,2161,38.02631354613607,2435,39.97189440940979,1882,60.41634766874689,1403,48.01330479572975,37,2.192781699587224,68,4.015686835835105,58,3.5782498279407906
MA_RS00385,MA_0075,,protein_coding,,NC_003552.1,86407,87507,-,1101,12880,148.4633227834265,10790,139.1859360000961,9111,127.0402592764467,7920,117.8583927069016,9589,108.9645070222485,8759,92.85228035997385,6006,124.50949107903502,4629,102.29947180558133,558,21.355520188792404,409,15.597554578378118,350,13.944180363980482
MA_RS00390,MA_0076,,protein_coding,,NC_003552.1,88183,89202,+,1020,6759,84.09552902822362,5245,73.03088262433214,3923,59.04468093866193,3782,60.74968134537402,3029,37.15336552291334,3700,42.33766663559783,2751,61.5594693809828,2473,58.99259140933714,821,33.916127564434284,528,21.734731310080527,710,30.53306787766718
MA_RS00395,,,protein_coding,,NC_003552.1,89462,89629,+,168,9484,716.428569006533,7273,614.8448426089507,8658,791.1720629836764,6032,588.2672928042639,3386,252.1603105963705,4033,280.1846295562956,4415,599.8268128978635,3269,473.4555026271002,947,237.522071367595,588,146.95642192611265,638,166.58030895431497
MA_RS00400,MA_0077,,protein_coding,,NC_003552.1,89654,90631,+,978,22739,295.0686972038846,19231,279.2699721467133,20037,314.5259531793071,15599,261.3247567296545,12032,153.921053487429,16601,198.1165522284615,11684,272.682421879068,10447,259.9119631084887,3645,157.04421844751425,2234,95.91020934353949,2512,112.66604429688925
MA_RS00405,MA_0078,,protein_coding,,NC_003552.1,90829,92013,+,1185,540,5.78317110410006,583,6.987332868576518,309,4.003158380737954,227,3.138557997065357,665,7.021054652896018,616,6.067191857789674,212,4.0834003312776845,126,2.587174513583157,10,0.35558622155468494,12,0.4251903708531288,6,0.22209826518253178
MA_RS24315,MA_0079,,protein_coding,,NC_003552.1,92000,94453,+,2454,1564,8.08821752397658,1894,10.96141561640144,1061,6.637483726095587,947,6.3226344321718,1713,8.733370066478477,1449,6.891586217106199,921,8.566225858727945,422,4.184190240124736,80,1.3736582641965822,31,0.5304050622551509,34,0.6077383254689084
MA_RS00415,MA_0080,,protein_coding,,NC_003552.1,94605,96728,+,2124,6095,36.41747492257401,5466,36.54907108313105,4665,33.71784263628942,4157,32.06624921943846,4715,27.77322057669569,6778,37.24538078907769,3170,34.065063191619714,2793,31.995577464946127,831,16.485790860765192,483,9.548016113843477,494,10.201985519083669
MA_RS00420,MA_0081,ppk1,protein_coding,,NC_003552.1,97563,99749,+,2187,62672,363.6766379039851,55471,360.2288077922462,50990,357.9306364810694,36836,275.9601248470254,49362,282.3859100665657,57173,305.1178144623853,27255,284.4473240122451,29373,326.7932306709979,5122,98.68566359221167,3192,61.282239047377566,3891,78.04133931892235
MA_RS00425,MA_0083,,protein_coding,,NC_003552.1,100217,101848,+,1632,5738,44.62014957500621,4890,42.55493518028887,4016,37.77775915269984,2932,29.43516421612848,6671,51.14107407629475,5983,42.78821950688882,2224,31.104202995116715,2360,35.18563377629288,662,17.092323726899735,539,13.86721138273367,495,13.304461795286315
MA_RS00430,MA_0084,,protein_coding,,NC_003552.1,101895,104516,-,2622,9317,45.09558658546403,7712,41.77299001372317,5507,32.24371196328286,4175,26.08833988704729,8780,41.89487386952854,7157,31.85838061652887,3129,27.23813229374979,3192,29.62127341638687,251,4.033706628837442,211,3.3788607416813528,174,2.9109103291371876
MA_RS00435,MA_0085,,protein_coding,,NC_003552.1,105273,106394,+,1122,21662,245.0170614008769,20024,253.4657065030985,20529,280.8908430444675,15199,221.9447158233593,15866,176.9186642415868,19360,201.389981834195,11026,224.30015841998488,11373,246.63557037767575,2263,84.98748386481537,1400,52.390881257081155,1612,63.02087761690075
MA_RS00440,MA_0086,thsB,protein_coding,,NC_003552.1,106733,108391,-,1659,92445,707.1762602096958,65573,561.3579737701153,82817,766.3651586166785,80170,791.7501404176516,41150,310.3291073755866,44385,312.2591727829252,57227,787.3340658963209,61467,901.5071191973692,16236,412.3784209401332,11732,296.92460897910166,9830,259.9078508028914
MA_RS00445,MA_0087,dnaK,protein_coding,,NC_003552.1,109126,110610,+,1485,1870,15.98106747491024,1493,14.27889443058362,1262,13.04654585475508,812,8.95884921442391,2476,20.8604294725461,1891,14.86245120758464,597,9.17597721669761,597,9.781859193853009,65,1.8443790380639467,59,1.6681921873286476,47,1.3883011087924924
MA_RS00450,MA_0088,,protein_coding,,NC_003552.1,110763,111479,+,717,1370,24.24890006960907,1199,23.74987105522712,1006,21.53979019585165,743,16.97822597402404,1498,26.13916537367542,1778,28.9426283326378,597,19.004639005294216,424,14.388656024935484,152,8.932801984160369,49,2.8694419901890895,103,6.301302593410953
