# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "locus_tag" "-a" "/home/nyako/projects/ProteinHunter/data/databases/target/methanosarcina_acetivorans/ncbi_dataset/data/GCF_000007345.1/genomic.gff" "-o" "counts/counts_new5.txt" "-T" "8" "bam/SRR20281612.sorted.bam" "bam/SRR20281613.sorted.bam" "bam/SRR20650029.sorted.bam" "bam/SRR20650030.sorted.bam" "bam/SRR20650031.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR20281612.sorted.bam	bam/SRR20281613.sorted.bam	bam/SRR20650029.sorted.bam	bam/SRR20650030.sorted.bam	bam/SRR20650031.sorted.bam
MA_RS00420	NC_003552.1	97563	99749	+	2187	27255	29373	5122	3192	3891
MA_RS00425	NC_003552.1	100217	101848	+	1632	2224	2360	662	539	495
MA_RS00430	NC_003552.1	101895	104516	-	2622	3129	3192	251	211	174
MA_RS00435	NC_003552.1	105273	106394	+	1122	11026	11373	2263	1400	1612
MA_RS00440	NC_003552.1	106733	108391	-	1659	57227	61467	16236	11732	9830
MA_RS00445	NC_003552.1	109126	110610	+	1485	597	597	65	59	47
MA_RS00450	NC_003552.1	110763	111479	+	717	597	424	152	49	103
MA_RS00455	NC_003552.1	111532	112200	-	669	1641	1463	359	200	198
MA_RS00460	NC_003552.1	112231	113850	-	1620	9480	10823	2106	1378	1385
MA_RS00465	NC_003552.1	114214	114846	-	633	398	387	154	78	94
MA_RS00470	NC_003552.1	115645	115917	-	273	5714	3386	125	163	126
MA_RS00475	NC_003552.1	116164	116844	+	681	1886	1623	128	126	65
MA_RS26365	NC_003552.1	117511	117672	-	162	31	14	2	0	0
MA_RS00485	NC_003552.1	117748	117930	+	183	455815	431439	944	639	814
MA_RS00490	NC_003552.1	118418	119704	-	1287	194	100	43	52	25
MA_RS00495	NC_003552.1	119810	122275	-	2466	4619	4167	1552	710	1058
MA_RS00500	NC_003552.1	122464	124302	-	1839	5011	4700	655	417	414
MA_RS00505	NC_003552.1	124580	125614	+	1035	1893	1568	50	86	36
MA_RS00510	NC_003552.1	125616	125894	+	279	67	29	2	0	0
MA_RS00515	NC_003552.1	125996	126307	+	312	58	19	0	2	2
MA_RS00525	NC_003552.1	126603	126923	+	321	260	162	21	51	31
MA_RS00530	NC_003552.1	126920	127279	+	360	96	61	111	66	97
MA_RS00535	NC_003552.1	127336	127620	+	285	514	374	52	48	42
MA_RS00540	NC_003552.1	128111	128293	+	183	14	6	5	18	3
MA_RS00545	NC_003552.1	128873	129463	-	591	176	165	42	41	35
MA_RS00550	NC_003552.1	129857	130660	+	804	2547	2611	481	347	372
MA_RS28020	NC_003552.1	130925	131086	-	162	234	123	30	16	16
MA_RS00555	NC_003552.1	131199	132203	-	1005	2060	2579	443	355	396
MA_RS00560	NC_003552.1	132513	133832	+	1320	11729	13340	1392	696	927
MA_RS00565	NC_003552.1	134083	134850	-	768	3695	3401	65	62	30
MA_RS00570	NC_003552.1	135133	135597	+	465	1457	821	194	118	159
MA_RS00575	NC_003552.1	135633	136748	-	1116	5967	5753	1071	752	902
MA_RS00580	NC_003552.1	136756	137493	-	738	15335	16189	1637	1096	1242
MA_RS00585	NC_003552.1	137806	138120	-	315	1891	2015	58	51	57
MA_RS00590	NC_003552.1	138098	138514	-	417	3647	2535	1181	649	835
MA_RS00595	NC_003552.1	139482	140351	+	870	3494	2429	618	391	411
MA_RS00600	NC_003552.1	140357	140983	+	627	1625	1363	506	483	397
MA_RS00605	NC_003552.1	140985	141728	+	744	2937	2650	314	191	171
MA_RS00610	NC_003552.1	142032	142388	+	357	221	140	36	14	9
MA_RS00615	NC_003552.1	142443	143543	-	1101	3534	3728	874	442	615
MA_RS00620	NC_003552.1	143524	144711	-	1188	4391	4235	748	379	442
MA_RS00630	NC_003552.1	145267	146253	-	987	4394	4303	170	190	167
MA_RS00635	NC_003552.1	146736	147269	-	534	1028	789	478	320	396
MA_RS00640	NC_003552.1	147571	148677	+	1107	2719	2708	2610	1357	1697
MA_RS00645	NC_003552.1	148799	149881	+	1083	846	567	537	382	327
MA_RS00650	NC_003552.1	150169	151299	+	1131	291	251	92	63	48
MA_RS00655	NC_003552.1	151346	151912	+	567	760	580	155	116	138
MA_RS00665	NC_003552.1	152362	152664	-	303	1569	930	44	12	14
MA_RS00670	NC_003552.1	153013	154401	-	1389	1417	914	508	318	282
MA_RS00675	NC_003552.1	154898	155356	+	459	2035	1909	520	422	499
MA_RS00680	NC_003552.1	155353	155727	+	375	1180	1263	62	121	73
MA_RS00685	NC_003552.1	155973	156974	-	1002	4979	4490	828	510	664
MA_RS00690	NC_003552.1	156997	158415	-	1419	8845	7725	1565	1001	982
MA_RS00695	NC_003552.1	158892	160085	+	1194	5419	5724	730	533	673
MA_RS00700	NC_003552.1	160448	160909	+	462	3903	3041	905	999	810
MA_RS00705	NC_003552.1	161227	161625	-	399	8304	7561	98	227	93
MA_RS00710	NC_003552.1	162129	162893	+	765	1193	870	43	39	30
MA_RS00715	NC_003552.1	163006	163458	-	453	889	789	53	48	55
MA_RS00720	NC_003552.1	163825	164277	-	453	2145	1676	304	189	186
MA_RS00725	NC_003552.1	164671	165576	+	906	8083	7210	1637	1204	1172
MA_RS00730	NC_003552.1	165573	167285	+	1713	34877	32634	6259	2981	3653
MA_RS00735	NC_003552.1	167353	168378	+	1026	7083	5300	858	349	479
MA_RS00740	NC_003552.1	168981	169217	-	237	145	71	20	26	22
MA_RS00745	NC_003552.1	169231	169500	-	270	25	16	91	77	89
MA_RS00750	NC_003552.1	169487	170893	-	1407	552	575	1665	762	1355
MA_RS00765	NC_003552.1	172589	173245	-	657	2014	2621	952	537	632
MA_RS00775	NC_003552.1	174232	175251	-	1020	2361	2321	2293	2240	1990
MA_RS00780	NC_003552.1	175643	176245	+	603	202	124	28	30	32
MA_RS00785	NC_003552.1	176345	177046	+	702	221	179	30	22	12
MA_RS00790	NC_003552.1	177173	178477	+	1305	268	105	18	19	4
MA_RS00795	NC_003552.1	178886	180508	+	1623	3282	3630	909	431	552
MA_RS24920	NC_003552.1	180608	180763	+	156	124	90	19	18	14
MA_RS26380	NC_003552.1	180778	180951	+	174	113	146	32	14	30
MA_RS24320	NC_003552.1	181135	181320	+	186	389	354	4	7	2
MA_RS00805	NC_003552.1	181379	182416	-	1038	4484	4142	57	49	22
MA_RS00810	NC_003552.1	183063	183842	-	780	814	840	220	119	136
MA_RS00815	NC_003552.1	183918	185009	-	1092	1366	1660	590	367	412
MA_RS00820	NC_003552.1	185011	186063	-	1053	1579	1878	396	250	220
MA_RS00825	NC_003552.1	186300	187631	-	1332	5065	6829	1119	516	584
MA_RS00835	NC_003552.1	188205	188921	-	717	900	692	341	242	288
MA_RS00840	NC_003552.1	189056	189550	+	495	1494	2039	51	58	26
MA_RS00845	NC_003552.1	189736	190125	+	390	244	287	15	5	9
MA_RS00850	NC_003552.1	190535	190750	+	216	209	374	10	8	3
MA_RS00855	NC_003552.1	190783	191763	+	981	1416	1643	422	172	194
MA_RS00860	NC_003552.1	191991	192494	-	504	128	162	66	67	52
MA_RS00865	NC_003552.1	192549	193001	-	453	62	67	28	40	39
MA_RS00870	NC_003552.1	193154	194119	+	966	3144	4035	650	725	542
MA_RS00875	NC_003552.1	194116	194373	+	258	1586	1301	112	80	58
MA_RS00880	NC_003552.1	194495	195154	-	660	2918	2984	159	124	161
MA_RS00885	NC_003552.1	195151	196425	-	1275	4622	5401	482	273	322
MA_RS00890	NC_003552.1	196662	196874	+	213	581	336	94	102	70
MA_RS00900	NC_003552.1	198400	200520	+	2121	2078	2229	1104	535	695
MA_RS00905	NC_003552.1	200788	201402	+	615	169	168	61	44	54
MA_RS00910	NC_003552.1	201460	201678	-	219	277	112	15	10	12
MA_RS00915	NC_003552.1	201866	203218	-	1353	1173	900	176	90	126
MA_RS00920	NC_003552.1	203500	204366	+	867	129	122	92	44	68
MA_RS00930	NC_003552.1	204617	206095	-	1479	13714	12985	1050	614	730
MA_RS00935	NC_003552.1	206242	207555	-	1314	4207	3562	973	561	514
MA_RS00940	NC_003552.1	207902	208306	+	405	306	215	63	31	46
MA_RS28275	NC_003552.1	208308	208454	+	147	3	1	0	0	0
MA_RS00945	NC_003552.1	208412	208726	+	315	574	435	37	37	43
MA_RS00950	NC_003552.1	208746	209960	-	1215	3183	3211	278	153	193
MA_RS00955	NC_003552.1	210731	211183	-	453	317	176	20	13	5
MA_RS00960	NC_003552.1	211294	211761	-	468	111	162	2	15	4
MA_RS00965	NC_003552.1	211831	212391	-	561	533	347	57	70	51
MA_RS00970	NC_003552.1	212804	213361	-	558	1022	660	31	34	37
MA_RS00975	NC_003552.1	213728	214198	+	471	47	36	3	6	4
MA_RS00980	NC_003552.1	214216	215448	+	1233	1130	863	136	102	82
MA_RS00985	NC_003552.1	215848	216456	-	609	14675	14507	6195	5215	5407
MA_RS00990	NC_003552.1	216495	217016	-	522	19715	13743	660	584	576
MA_RS00995	NC_003552.1	217323	218444	-	1122	786	733	225	138	138
MA_RS01000	NC_003552.1	218588	220432	-	1845	970	947	318	131	202
MA_RS01005	NC_003552.1	220724	221497	+	774	168	143	16	21	2
MA_RS01010	NC_003552.1	221645	222184	+	540	468	384	86	51	42
MA_RS24325	NC_003552.1	222273	225017	-	2745	6508	4843	200	154	164
MA_RS01020	NC_003552.1	225245	228481	+	3237	10622	12241	1319	528	825
MA_RS01025	NC_003552.1	228483	229421	+	939	2149	2274	264	149	158
MA_RS01030	NC_003552.1	229690	230487	-	798	1530	1483	36	38	36
MA_RS01035	NC_003552.1	230904	231164	+	261	328	216	23	31	39
MA_RS01040	NC_003552.1	231399	231647	-	249	312	169	9	6	8
MA_RS01045	NC_003552.1	231952	234729	+	2778	18720	19210	3867	1919	2385
MA_RS01050	NC_003552.1	235213	236253	-	1041	2450	2333	816	437	538
MA_RS01055	NC_003552.1	236515	236817	-	303	134	142	24	8	10
MA_RS01060	NC_003552.1	237053	237397	-	345	269	254	9	33	14
MA_RS01065	NC_003552.1	237707	238117	-	411	326	300	12	16	12
MA_RS01070	NC_003552.1	238499	239620	-	1122	1636	1504	75	107	60
MA_RS01075	NC_003552.1	240415	240720	-	306	515	453	16	6	4
MA_RS01080	NC_003552.1	240902	242029	-	1128	7372	8549	1549	1169	1267
MA_RS01085	NC_003552.1	242125	242613	-	489	4038	3689	3285	1885	2500
MA_RS01090	NC_003552.1	243156	246950	+	3795	1894	1899	297	257	238
MA_RS01095	NC_003552.1	247160	248497	-	1338	830	691	91	71	76
MA_RS01100	NC_003552.1	249118	249978	+	861	52	89	21	6	15
MA_RS28280	NC_003552.1	249965	250126	+	162	94	51	10	5	4
MA_RS01105	NC_003552.1	250245	251315	-	1071	6778	5597	568	461	431
MA_RS01110	NC_003552.1	251515	252498	+	984	3046	3120	441	281	341
MA_RS01115	NC_003552.1	252510	253319	+	810	15739	16198	574	540	485
MA_RS01120	NC_003552.1	253737	254801	-	1065	2065	2182	161	125	142
MA_RS01125	NC_003552.1	255098	255385	-	288	572	419	145	73	120
MA_RS01130	NC_003552.1	255426	256229	-	804	556	584	279	139	170
MA_RS01135	NC_003552.1	256280	257170	-	891	2643	2657	413	188	245
MA_RS01140	NC_003552.1	257371	258555	-	1185	653	518	226	173	193
MA_RS01145	NC_003552.1	258675	259343	-	669	890	795	26	12	3
MA_RS01150	NC_003552.1	259696	259768	-	73	1220	571	82	54	42
MA_RS01155	NC_003552.1	259880	259992	-	113	18629	7497	76	45	55
MA_RS01160	NC_003552.1	260214	260552	+	339	31370	25260	45	73	45
MA_RS01165	NC_003552.1	261213	262409	-	1197	12488	11473	2713	2274	2073
MA_RS01170	NC_003552.1	262974	263843	+	870	3143	2483	1446	827	927
MA_RS01175	NC_003552.1	263960	264697	+	738	1886	1934	526	378	349
MA_RS01180	NC_003552.1	264755	265330	+	576	5108	4640	1225	834	889
MA_RS01185	NC_003552.1	265520	266245	-	726	5235	4392	898	489	716
MA_RS24330	NC_003552.1	266357	267910	-	1554	1151	901	109	48	62
MA_RS01195	NC_003552.1	268090	269016	-	927	234	172	26	8	22
MA_RS01200	NC_003552.1	269064	270074	-	1011	123	97	6	8	4
MA_RS01205	NC_003552.1	270372	270833	+	462	2042	1545	102	74	61
MA_RS24335	NC_003552.1	271766	272872	+	1107	265	237	68	54	36
MA_RS01215	NC_003552.1	272895	273158	-	264	8	8	4	3	1
MA_RS01220	NC_003552.1	273162	273911	-	750	83	115	7	2	8
MA_RS01225	NC_003552.1	273899	274729	-	831	234	184	28	31	34
MA_RS01230	NC_003552.1	275092	276009	-	918	768	861	144	79	71
MA_RS24925	NC_003552.1	276030	276950	-	921	426	350	54	78	31
MA_RS01240	NC_003552.1	277044	277403	-	360	17	14	0	0	0
MA_RS01245	NC_003552.1	277529	278014	-	486	158	100	6	12	4
MA_RS01250	NC_003552.1	278024	280012	-	1989	2053	2134	472	364	273
MA_RS01255	NC_003552.1	280023	281699	-	1677	3745	3510	505	315	311
MA_RS01260	NC_003552.1	282243	282728	-	486	150	123	75	54	67
MA_RS01265	NC_003552.1	282852	284033	-	1182	2449	2862	484	345	397
MA_RS01270	NC_003552.1	284077	284376	-	300	33891	26431	281	414	353
MA_RS01275	NC_003552.1	284699	285247	-	549	383	299	112	88	80
MA_RS01280	NC_003552.1	285315	285776	-	462	255	210	34	26	11
MA_RS01285	NC_003552.1	285856	286701	-	846	1331	1369	244	241	188
MA_RS01290	NC_003552.1	287013	288359	+	1347	3630	3504	657	315	451
MA_RS01295	NC_003552.1	289325	290446	-	1122	5507	4207	1470	738	937
MA_RS01300	NC_003552.1	290520	291626	-	1107	3670	3482	1374	699	870
MA_RS01305	NC_003552.1	291736	292170	-	435	331	291	184	102	128
MA_RS01310	NC_003552.1	292157	293362	-	1206	1969	1961	1384	806	864
MA_RS01315	NC_003552.1	293589	294857	-	1269	1599	1422	656	325	353
MA_RS01320	NC_003552.1	295222	296991	+	1770	13254	12953	1002	578	731
MA_RS01325	NC_003552.1	297112	297936	+	825	499	440	41	12	20
MA_RS01330	NC_003552.1	298201	299268	-	1068	6244	5583	1032	707	744
MA_RS01335	NC_003552.1	299683	302484	-	2802	7233	8068	834	350	437
MA_RS01340	NC_003552.1	303050	304429	-	1380	3376	3767	318	272	300
MA_RS01345	NC_003552.1	304839	305564	+	726	1188	967	85	60	79
MA_RS01350	NC_003552.1	305577	307301	-	1725	2649	2416	102	68	109
MA_RS01355	NC_003552.1	307346	308860	-	1515	5268	5754	265	146	180
MA_RS01360	NC_003552.1	309318	310061	+	744	756	670	240	177	146
MA_RS01365	NC_003552.1	310333	311271	+	939	1564	1035	218	168	143
MA_RS24930	NC_003552.1	311375	311551	+	177	185	124	6	13	13
MA_RS01370	NC_003552.1	311592	311987	-	396	22	36	0	0	1
MA_RS01375	NC_003552.1	312034	313146	+	1113	8212	8906	2637	2822	2460
MA_RS29250	NC_003552.1	313483	313608	+	126	133	118	41	18	30
MA_RS01380	NC_003552.1	313800	314696	-	897	2779	2644	470	460	370
MA_RS01385	NC_003552.1	315578	316501	+	924	289	182	16	40	17
MA_RS01390	NC_003552.1	316983	318230	+	1248	2231	1447	100	111	105
MA_RS01395	NC_003552.1	318584	319666	-	1083	294	250	139	130	122
MA_RS01400	NC_003552.1	320209	320282	-	74	154	56	12	6	1
MA_RS01405	NC_003552.1	320466	321026	+	561	407	368	155	116	95
MA_RS01410	NC_003552.1	321289	321900	+	612	2833	2016	481	340	326
MA_RS01415	NC_003552.1	322186	322626	+	441	987	673	102	85	92
MA_RS01420	NC_003552.1	322988	324490	+	1503	3011	2854	366	230	230
MA_RS01425	NC_003552.1	324585	325715	-	1131	7641	8140	117	66	77
MA_RS01430	NC_003552.1	327079	328029	-	951	129564	166039	4743	1949	2716
MA_RS01435	NC_003552.1	328042	328263	-	222	3840	4702	236	256	186
MA_RS01440	NC_003552.1	328281	328505	-	225	3359	3168	273	136	211
MA_RS01445	NC_003552.1	328505	329227	-	723	30718	38752	1043	586	762
MA_RS01450	NC_003552.1	329229	329555	-	327	11641	13237	125	50	63
MA_RS01455	NC_003552.1	329552	330355	-	804	34983	37121	1265	635	725
MA_RS01460	NC_003552.1	330358	331107	-	750	25034	25961	2220	935	1212
MA_RS01465	NC_003552.1	331104	332018	-	915	61801	62541	4855	2336	3122
MA_RS01475	NC_003552.1	332799	333605	+	807	1070	833	106	83	54
MA_RS01480	NC_003552.1	333941	334498	+	558	262	183	33	18	11
MA_RS01485	NC_003552.1	334718	336637	-	1920	5651	5783	1223	726	887
MA_RS01490	NC_003552.1	337091	338149	+	1059	8035	7959	2444	1593	1978
MA_RS01495	NC_003552.1	338264	339082	+	819	609	431	357	207	251
MA_RS01500	NC_003552.1	339069	340115	+	1047	605	477	135	60	82
MA_RS01505	NC_003552.1	340130	340717	+	588	2039	1590	194	98	166
MA_RS01510	NC_003552.1	340889	341950	-	1062	10050	8085	1019	544	732
MA_RS01515	NC_003552.1	341943	343088	-	1146	6117	4353	135	86	80
MA_RS01520	NC_003552.1	343085	345346	-	2262	19576	14202	1893	1309	1430
MA_RS01525	NC_003552.1	345679	346452	+	774	1891	1126	86	43	46
MA_RS01530	NC_003552.1	346711	347997	+	1287	103	63	29	30	19
MA_RS01535	NC_003552.1	348379	349038	+	660	10189	7072	283	245	216
MA_RS01540	NC_003552.1	349120	349443	+	324	947	764	93	76	47
MA_RS01545	NC_003552.1	349474	349764	-	291	2820	1821	137	151	136
MA_RS01550	NC_003552.1	349803	350108	-	306	349	290	0	4	3
MA_RS01555	NC_003552.1	350298	350555	+	258	427	270	50	49	29
MA_RS01560	NC_003552.1	350802	351662	+	861	3550	2882	93	89	58
MA_RS01565	NC_003552.1	351805	352455	+	651	180	196	60	43	29
MA_RS01570	NC_003552.1	353792	354220	+	429	35	27	9	2	4
MA_RS01575	NC_003552.1	354499	355260	-	762	8791	8596	788	477	551
MA_RS01580	NC_003552.1	355257	355964	-	708	9487	10833	1923	1047	1575
MA_RS01585	NC_003552.1	355940	356881	-	942	12972	14345	2730	1175	1714
MA_RS01590	NC_003552.1	356878	357780	-	903	14242	14610	8658	3628	5553
MA_RS01595	NC_003552.1	357785	358726	-	942	21582	21634	7745	2841	4366
MA_RS01600	NC_003552.1	358852	360492	-	1641	34908	37312	12752	6438	8231
MA_RS01605	NC_003552.1	360522	361289	-	768	6130	4751	2991	1553	1843
MA_RS26400	NC_003552.1	361696	361842	-	147	90	75	4	4	2
MA_RS01620	NC_003552.1	362830	363399	+	570	1569	1260	2973	1313	1853
MA_RS01625	NC_003552.1	363418	364458	+	1041	1917	2264	2826	1063	1444
MA_RS01630	NC_003552.1	364459	366213	+	1755	3247	3177	9782	4409	6369
MA_RS01635	NC_003552.1	366218	367084	+	867	599	520	1237	723	1019
MA_RS01640	NC_003552.1	367095	367484	+	390	369	376	2542	1402	1713
MA_RS01645	NC_003552.1	367487	368788	+	1302	5026	5278	11349	4602	7860
MA_RS01650	NC_003552.1	369250	370296	+	1047	1130	855	16	6	26
MA_RS01655	NC_003552.1	370777	371526	+	750	3308	3454	371	478	325
MA_RS01660	NC_003552.1	372184	372411	-	228	170	161	16	8	20
MA_RS01665	NC_003552.1	372564	373571	-	1008	677	639	74	59	56
MA_RS01670	NC_003552.1	373760	374464	-	705	328	250	18	28	26
MA_RS01675	NC_003552.1	375115	376125	+	1011	394	279	12	16	2
MA_RS01680	NC_003552.1	376216	376830	+	615	268	299	16	6	16
MA_RS01700	NC_003552.1	378649	379041	+	393	629	385	27	26	18
MA_RS01705	NC_003552.1	379094	380020	-	927	1922	2141	304	105	149
MA_RS01710	NC_003552.1	380046	380837	-	792	1520	1646	334	205	272
MA_RS01715	NC_003552.1	380961	382022	-	1062	1526	1707	454	213	306
MA_RS01720	NC_003552.1	382019	382879	-	861	1348	1344	1318	501	636
MA_RS01725	NC_003552.1	382867	383682	-	816	918	1217	308	176	197
MA_RS01730	NC_003552.1	383857	384498	-	642	1161	1434	584	390	382
MA_RS01735	NC_003552.1	384571	385146	-	576	257	238	263	187	186
MA_RS01740	NC_003552.1	385182	385754	-	573	1073	707	187	96	99
MA_RS01745	NC_003552.1	385916	386206	-	291	515	433	40	50	29
MA_RS01750	NC_003552.1	386302	386826	-	525	1386	1288	104	64	41
MA_RS01755	NC_003552.1	386898	387662	-	765	1873	2013	349	117	168
MA_RS01760	NC_003552.1	387918	388475	-	558	1325	1279	106	97	76
MA_RS01765	NC_003552.1	388736	389119	+	384	512	444	196	136	146
MA_RS01770	NC_003552.1	389165	390565	-	1401	3834	3098	2166	1316	1494
MA_RS01775	NC_003552.1	391064	393439	+	2376	8672	9766	1588	702	950
MA_RS01780	NC_003552.1	393609	396260	-	2652	6243	5773	4387	2011	2364
MA_RS01785	NC_003552.1	397092	397532	+	441	1257	1021	137	112	110
MA_RS01790	NC_003552.1	397635	398663	+	1029	1985	1542	609	310	409
MA_RS01795	NC_003552.1	398698	399663	+	966	10728	10387	2299	1141	1506
MA_RS01800	NC_003552.1	399660	400670	+	1011	5817	6069	907	620	689
MA_RS01805	NC_003552.1	400671	401354	+	684	2212	2325	564	318	434
MA_RS01810	NC_003552.1	401436	401951	-	516	905	706	151	141	146
