# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "locus_tag" "-a" "/home/nyako/projects/ProteinHunter/data/databases/target/methanosarcina_acetivorans/ncbi_dataset/data/GCF_000007345.1/genomic.gff" "-o" "counts/counts.txt" "-T" "8" "bam/SRR20281608.sorted.bam" "bam/SRR20281609.sorted.bam" "bam/SRR20281610.sorted.bam" "bam/SRR20281611.sorted.bam" "bam/SRR20280855.sorted.bam" "bam/SRR20280860.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR20281608.sorted.bam	bam/SRR20281609.sorted.bam	bam/SRR20281610.sorted.bam	bam/SRR20281611.sorted.bam	bam/SRR20280855.sorted.bam	bam/SRR20280860.sorted.bam
MA_RS00180	NC_003552.1	44772	45743	-	972	3546	2884	2131	1837	1338	1568
MA_RS00185	NC_003552.1	46129	46686	-	558	7392	5838	5537	4701	4094	4827
MA_RS00190	NC_003552.1	47351	49258	+	1908	9385	8551	8016	7175	6361	8002
MA_RS00195	NC_003552.1	49629	50060	+	432	4090	3794	2918	2293	1893	2993
MA_RS00200	NC_003552.1	50071	50922	+	852	3825	3759	2867	2349	2813	3885
MA_RS00205	NC_003552.1	51146	52183	+	1038	8397	7294	6470	4793	3709	4285
MA_RS00210	NC_003552.1	52548	52826	-	279	20887	21143	19001	17606	18676	12124
MA_RS00215	NC_003552.1	53371	54618	+	1248	44155	35352	26847	28104	27037	33135
MA_RS00220	NC_003552.1	54803	56512	+	1710	36483	32528	28332	25043	17362	25162
MA_RS00230	NC_003552.1	56958	57329	+	372	6589	5240	5899	4532	6059	5385
MA_RS00235	NC_003552.1	57569	58264	+	696	3604	3160	2923	2386	2770	2912
MA_RS00240	NC_003552.1	58313	59023	+	711	1946	1467	1473	1280	1807	2081
MA_RS00245	NC_003552.1	59191	59415	+	225	567	421	360	304	418	293
MA_RS00250	NC_003552.1	59484	59735	+	252	1145	934	995	575	1186	907
MA_RS00255	NC_003552.1	59888	61279	+	1392	5003	4131	2700	2061	3438	3589
MA_RS00260	NC_003552.1	61555	63327	-	1773	7638	4920	3429	1949	9496	7575
MA_RS00270	NC_003552.1	64281	65324	+	1044	4642	4029	3034	3031	3495	4468
MA_RS00275	NC_003552.1	65547	66581	+	1035	2282	2123	1671	1671	2494	2539
MA_RS00280	NC_003552.1	67212	67382	-	171	2438	1592	1417	1009	1163	800
MA_RS00285	NC_003552.1	67779	67852	-	74	47	62	36	52	46	46
MA_RS00290	NC_003552.1	68403	68609	+	207	43084	42884	39152	31738	25354	30147
MA_RS00295	NC_003552.1	68676	68882	+	207	9244	11898	10849	6990	12653	16951
MA_RS00300	NC_003552.1	68950	69156	+	207	30423	28404	20844	17615	18685	24499
MA_RS00305	NC_003552.1	69214	69420	+	207	58429	49601	52494	42943	21071	32507
MA_RS26360	NC_003552.1	69507	69650	-	144	2222	2382	1295	687	1386	1188
MA_RS00310	NC_003552.1	69654	70403	-	750	335	240	211	169	195	200
MA_RS00315	NC_003552.1	70391	71146	-	756	502	411	346	308	279	288
MA_RS00320	NC_003552.1	71483	71908	+	426	3055	2704	2710	2260	1862	2141
MA_RS00325	NC_003552.1	72017	72781	-	765	3519	3315	2956	2219	2891	4072
MA_RS00330	NC_003552.1	72783	73571	-	789	4767	4693	5148	3900	2426	3508
MA_RS00335	NC_003552.1	73710	74723	-	1014	14050	13908	12520	9786	11956	14519
MA_RS00345	NC_003552.1	75144	75665	+	522	4200	3084	3176	2162	2261	1688
MA_RS00350	NC_003552.1	75866	79369	-	3504	89005	83961	67249	74424	53297	72050
MA_RS00355	NC_003552.1	79587	80597	-	1011	16937	13703	13263	13772	8506	12541
MA_RS00365	NC_003552.1	81193	81987	-	795	11592	10628	7693	6002	4583	8658
MA_RS00370	NC_003552.1	82020	84404	-	2385	158026	134467	115934	81578	78052	104229
MA_RS00375	NC_003552.1	84492	84743	-	252	9848	8291	4467	3762	5473	4824
MA_RS00380	NC_003552.1	85487	86197	+	711	4512	3222	2866	2586	2161	2435
MA_RS00385	NC_003552.1	86407	87507	-	1101	12880	10790	9111	7920	9589	8759
MA_RS00390	NC_003552.1	88183	89202	+	1020	6759	5245	3923	3782	3029	3700
MA_RS00395	NC_003552.1	89462	89629	+	168	9484	7273	8658	6032	3386	4033
MA_RS00400	NC_003552.1	89654	90631	+	978	22739	19231	20037	15599	12032	16601
MA_RS00405	NC_003552.1	90829	92013	+	1185	540	583	309	227	665	616
MA_RS24315	NC_003552.1	92000	94453	+	2454	1564	1894	1061	947	1713	1449
MA_RS00415	NC_003552.1	94605	96728	+	2124	6095	5466	4665	4157	4715	6778
MA_RS00420	NC_003552.1	97563	99749	+	2187	62672	55471	50990	36836	49362	57173
MA_RS00425	NC_003552.1	100217	101848	+	1632	5738	4890	4016	2932	6671	5983
MA_RS00430	NC_003552.1	101895	104516	-	2622	9317	7712	5507	4175	8780	7157
MA_RS00435	NC_003552.1	105273	106394	+	1122	21662	20024	20529	15199	15866	19360
MA_RS00440	NC_003552.1	106733	108391	-	1659	92445	65573	82817	80170	41150	44385
MA_RS00445	NC_003552.1	109126	110610	+	1485	1870	1493	1262	812	2476	1891
MA_RS00450	NC_003552.1	110763	111479	+	717	1370	1199	1006	743	1498	1778
MA_RS00455	NC_003552.1	111532	112200	-	669	2705	2729	2421	2153	2834	3800
MA_RS00460	NC_003552.1	112231	113850	-	1620	21879	17000	17028	12674	9859	13168
MA_RS00465	NC_003552.1	114214	114846	-	633	1233	873	630	503	900	809
MA_RS00470	NC_003552.1	115645	115917	-	273	12036	6654	9217	7810	1628	1844
MA_RS00475	NC_003552.1	116164	116844	+	681	2649	2356	2177	2630	3036	2711
MA_RS26365	NC_003552.1	117511	117672	-	162	86	60	49	51	38	28
MA_RS00485	NC_003552.1	117748	117930	+	183	790449	849866	760709	603437	425325	661112
MA_RS00490	NC_003552.1	118418	119704	-	1287	436	366	372	293	361	366
MA_RS00495	NC_003552.1	119810	122275	-	2466	11063	8793	7728	6472	7593	9109
MA_RS00500	NC_003552.1	122464	124302	-	1839	11855	8916	7486	6855	4545	5904
MA_RS00505	NC_003552.1	124580	125614	+	1035	3951	3583	2988	2303	3162	2492
MA_RS00510	NC_003552.1	125616	125894	+	279	153	234	140	118	668	533
MA_RS00515	NC_003552.1	125996	126307	+	312	104	177	77	64	144	106
MA_RS00525	NC_003552.1	126603	126923	+	321	1064	625	464	326	676	565
MA_RS00530	NC_003552.1	126920	127279	+	360	310	303	150	128	646	419
MA_RS00535	NC_003552.1	127336	127620	+	285	1146	926	976	583	1442	1271
MA_RS00540	NC_003552.1	128111	128293	+	183	58	29	24	35	40	63
MA_RS00545	NC_003552.1	128873	129463	-	591	303	214	258	225	470	362
MA_RS00550	NC_003552.1	129857	130660	+	804	4892	3986	4442	3834	2856	3134
MA_RS28020	NC_003552.1	130925	131086	-	162	276	258	255	238	281	355
MA_RS00555	NC_003552.1	131199	132203	-	1005	4895	3570	3247	2854	2951	3112
MA_RS00560	NC_003552.1	132513	133832	+	1320	20631	17421	20941	16592	14072	16008
MA_RS00565	NC_003552.1	134083	134850	-	768	11587	7757	6653	4880	6791	7023
MA_RS00570	NC_003552.1	135133	135597	+	465	3603	3060	2513	1788	2158	2291
MA_RS00575	NC_003552.1	135633	136748	-	1116	11522	9922	9760	8095	7142	9986
MA_RS00580	NC_003552.1	136756	137493	-	738	39141	31458	27240	20727	23115	28466
MA_RS00585	NC_003552.1	137806	138120	-	315	3860	3362	3212	2518	1312	1746
MA_RS00590	NC_003552.1	138098	138514	-	417	7541	6746	4577	5020	5287	5588
MA_RS00595	NC_003552.1	139482	140351	+	870	5538	5486	5609	4577	7041	8819
MA_RS00600	NC_003552.1	140357	140983	+	627	5325	3915	4115	2256	1763	2608
MA_RS00605	NC_003552.1	140985	141728	+	744	4535	4339	4994	3987	4716	5476
MA_RS00610	NC_003552.1	142032	142388	+	357	525	538	365	286	546	854
MA_RS00615	NC_003552.1	142443	143543	-	1101	7871	7436	6021	5059	3249	4954
MA_RS00620	NC_003552.1	143524	144711	-	1188	9966	7209	6916	6009	4359	6513
MA_RS00630	NC_003552.1	145267	146253	-	987	13818	10213	7176	6067	7799	7185
MA_RS00635	NC_003552.1	146736	147269	-	534	1921	1524	1378	1411	814	841
MA_RS00640	NC_003552.1	147571	148677	+	1107	5718	4739	4377	3569	5942	6846
MA_RS00645	NC_003552.1	148799	149881	+	1083	1216	1372	1095	1077	1420	1427
MA_RS00650	NC_003552.1	150169	151299	+	1131	644	584	592	358	855	673
MA_RS00655	NC_003552.1	151346	151912	+	567	1193	888	1055	951	754	802
MA_RS00665	NC_003552.1	152362	152664	-	303	4247	3307	2639	2032	2431	2452
MA_RS00670	NC_003552.1	153013	154401	-	1389	2745	2878	2517	1944	2086	2538
MA_RS00675	NC_003552.1	154898	155356	+	459	5932	4314	3574	2459	3893	3775
MA_RS00680	NC_003552.1	155353	155727	+	375	3965	2662	2505	1603	2551	2538
MA_RS00685	NC_003552.1	155973	156974	-	1002	10281	9352	7983	7022	6130	6272
MA_RS00690	NC_003552.1	156997	158415	-	1419	15529	14413	12309	11633	11230	13271
MA_RS00695	NC_003552.1	158892	160085	+	1194	14205	11285	7977	7446	8855	8467
MA_RS00700	NC_003552.1	160448	160909	+	462	21520	11615	6153	5192	14272	13495
MA_RS00705	NC_003552.1	161227	161625	-	399	28170	19764	15140	10872	14769	12212
MA_RS00710	NC_003552.1	162129	162893	+	765	2630	2258	1719	1566	991	996
MA_RS00715	NC_003552.1	163006	163458	-	453	2033	1493	1453	1225	957	1145
MA_RS00720	NC_003552.1	163825	164277	-	453	2916	2449	3244	2860	2283	2436
MA_RS00725	NC_003552.1	164671	165576	+	906	19910	15703	14654	11096	10286	17327
MA_RS00730	NC_003552.1	165573	167285	+	1713	61815	59344	57854	49024	36265	66334
MA_RS00735	NC_003552.1	167353	168378	+	1026	14481	15775	13401	9429	13477	21123
MA_RS00740	NC_003552.1	168981	169217	-	237	176	305	214	177	840	1465
MA_RS00745	NC_003552.1	169231	169500	-	270	92	71	46	32	297	598
MA_RS00750	NC_003552.1	169487	170893	-	1407	1194	1094	1059	795	3823	5890
MA_RS00765	NC_003552.1	172589	173245	-	657	5432	4131	3255	2915	18198	17617
MA_RS00775	NC_003552.1	174232	175251	-	1020	6915	4266	3833	3143	6155	5418
MA_RS00780	NC_003552.1	175643	176245	+	603	474	408	298	264	250	286
MA_RS00785	NC_003552.1	176345	177046	+	702	775	616	383	276	306	271
MA_RS00790	NC_003552.1	177173	178477	+	1305	458	476	289	366	356	309
MA_RS00795	NC_003552.1	178886	180508	+	1623	8326	6685	6327	4403	7908	8192
MA_RS24920	NC_003552.1	180608	180763	+	156	366	319	176	151	225	203
MA_RS26380	NC_003552.1	180778	180951	+	174	358	212	223	152	100	137
MA_RS24320	NC_003552.1	181135	181320	+	186	1114	1068	819	481	236	310
MA_RS00805	NC_003552.1	181379	182416	-	1038	9569	10010	7253	5886	1716	4283
MA_RS00810	NC_003552.1	183063	183842	-	780	1819	1574	1211	1039	1843	2462
MA_RS00815	NC_003552.1	183918	185009	-	1092	3976	3131	2117	1889	2447	3757
MA_RS00820	NC_003552.1	185011	186063	-	1053	4633	3557	2974	2189	3464	4937
MA_RS00825	NC_003552.1	186300	187631	-	1332	12347	9876	8515	6916	7808	10152
MA_RS00835	NC_003552.1	188205	188921	-	717	1209	1292	1342	1272	1585	1737
MA_RS00840	NC_003552.1	189056	189550	+	495	4354	3239	1942	1952	2189	2188
MA_RS00845	NC_003552.1	189736	190125	+	390	770	565	372	356	512	553
MA_RS00850	NC_003552.1	190535	190750	+	216	648	499	297	343	198	225
MA_RS00855	NC_003552.1	190783	191763	+	981	4156	3449	2827	2013	2717	3344
MA_RS00860	NC_003552.1	191991	192494	-	504	444	377	269	166	336	234
MA_RS00865	NC_003552.1	192549	193001	-	453	213	139	154	97	488	237
MA_RS00870	NC_003552.1	193154	194119	+	966	23627	12401	7185	4261	7942	7733
MA_RS00875	NC_003552.1	194116	194373	+	258	4496	3707	3092	2155	3165	4047
MA_RS00880	NC_003552.1	194495	195154	-	660	6746	6031	5170	3972	4789	6279
MA_RS00885	NC_003552.1	195151	196425	-	1275	11124	9773	7942	6516	6426	6225
MA_RS00890	NC_003552.1	196662	196874	+	213	2740	1735	1234	693	2472	1929
MA_RS00900	NC_003552.1	198400	200520	+	2121	7711	4767	4536	2805	9577	8270
MA_RS00905	NC_003552.1	200788	201402	+	615	426	296	226	164	159	222
MA_RS00910	NC_003552.1	201460	201678	-	219	344	368	340	345	420	352
MA_RS00915	NC_003552.1	201866	203218	-	1353	3255	2260	2236	1655	1414	1546
MA_RS00920	NC_003552.1	203500	204366	+	867	421	378	276	229	495	404
MA_RS00930	NC_003552.1	204617	206095	-	1479	21774	18803	22015	18898	7868	12842
MA_RS00935	NC_003552.1	206242	207555	-	1314	9002	7243	6069	5591	3184	5185
MA_RS00940	NC_003552.1	207902	208306	+	405	1102	916	649	454	1325	1168
MA_RS28275	NC_003552.1	208308	208454	+	147	10	6	3	2	2	15
MA_RS00945	NC_003552.1	208412	208726	+	315	1082	1008	830	744	1707	1607
MA_RS00950	NC_003552.1	208746	209960	-	1215	7280	6171	5002	4078	4256	4890
MA_RS00955	NC_003552.1	210731	211183	-	453	563	432	468	399	322	413
MA_RS00960	NC_003552.1	211294	211761	-	468	257	279	242	200	145	155
MA_RS00965	NC_003552.1	211831	212391	-	561	1821	1283	699	689	873	780
MA_RS00970	NC_003552.1	212804	213361	-	558	1954	1497	1555	1351	1387	1425
MA_RS00975	NC_003552.1	213728	214198	+	471	254	159	95	45	53	65
MA_RS00980	NC_003552.1	214216	215448	+	1233	2439	1861	1806	1545	1440	1171
MA_RS00985	NC_003552.1	215848	216456	-	609	27626	23394	23377	20893	18110	21447
MA_RS00990	NC_003552.1	216495	217016	-	522	30068	23853	25438	25910	13991	16008
MA_RS00995	NC_003552.1	217323	218444	-	1122	1955	1444	1233	1052	968	1300
MA_RS01000	NC_003552.1	218588	220432	-	1845	1972	1591	1676	1332	1296	1610
MA_RS01005	NC_003552.1	220724	221497	+	774	641	392	320	226	385	284
MA_RS01010	NC_003552.1	221645	222184	+	540	756	791	782	571	933	935
MA_RS24325	NC_003552.1	222273	225017	-	2745	11735	10602	8239	8274	7199	7379
MA_RS01020	NC_003552.1	225245	228481	+	3237	25775	21134	20161	14754	21991	25084
MA_RS01025	NC_003552.1	228483	229421	+	939	4634	4421	3526	3030	5723	5672
MA_RS01030	NC_003552.1	229690	230487	-	798	2282	2798	1671	1915	1176	1213
MA_RS01035	NC_003552.1	230904	231164	+	261	916	714	609	491	371	390
MA_RS01040	NC_003552.1	231399	231647	-	249	1139	972	617	455	391	316
MA_RS01045	NC_003552.1	231952	234729	+	2778	50096	39983	33601	25539	16805	26153
MA_RS01050	NC_003552.1	235213	236253	-	1041	4764	4283	4190	3437	4507	4101
MA_RS01055	NC_003552.1	236515	236817	-	303	526	341	275	193	511	397
MA_RS01060	NC_003552.1	237053	237397	-	345	743	684	456	381	380	465
MA_RS01065	NC_003552.1	237707	238117	-	411	1149	795	544	477	305	491
MA_RS01070	NC_003552.1	238499	239620	-	1122	5415	4557	2541	2258	1442	2570
MA_RS01075	NC_003552.1	240415	240720	-	306	1057	991	698	664	709	750
MA_RS01080	NC_003552.1	240902	242029	-	1128	15971	13807	11426	10409	7830	9044
MA_RS01085	NC_003552.1	242125	242613	-	489	8126	6748	6075	5665	3976	5560
MA_RS01090	NC_003552.1	243156	246950	+	3795	6724	5061	3137	2767	4272	3981
MA_RS01095	NC_003552.1	247160	248497	-	1338	1521	1366	1185	1169	1373	1370
MA_RS01100	NC_003552.1	249118	249978	+	861	275	316	158	100	300	213
MA_RS28280	NC_003552.1	249965	250126	+	162	194	234	124	129	267	230
MA_RS01105	NC_003552.1	250245	251315	-	1071	15818	13627	11080	9068	9766	9325
MA_RS01110	NC_003552.1	251515	252498	+	984	5611	4995	4190	4220	5909	6431
MA_RS01115	NC_003552.1	252510	253319	+	810	33350	28008	27410	21260	23638	25282
MA_RS01120	NC_003552.1	253737	254801	-	1065	4447	3608	3669	2784	2515	3026
MA_RS01125	NC_003552.1	255098	255385	-	288	1023	979	995	745	1049	837
MA_RS01130	NC_003552.1	255426	256229	-	804	1643	1375	903	865	1453	1129
MA_RS01135	NC_003552.1	256280	257170	-	891	6115	4719	4443	3860	5461	5450
MA_RS01140	NC_003552.1	257371	258555	-	1185	2772	1771	839	858	1446	1153
MA_RS01145	NC_003552.1	258675	259343	-	669	2550	2902	1321	1268	1063	867
MA_RS01150	NC_003552.1	259696	259768	-	73	1095	1362	1290	1682	905	636
MA_RS01155	NC_003552.1	259880	259992	-	113	7506	7939	18366	26728	3856	3705
MA_RS01160	NC_003552.1	260214	260552	+	339	56341	55557	51147	42474	69079	63743
MA_RS01165	NC_003552.1	261213	262409	-	1197	28005	22108	17340	16895	16352	18154
MA_RS01170	NC_003552.1	262974	263843	+	870	7405	6110	5014	4260	4133	4456
MA_RS01175	NC_003552.1	263960	264697	+	738	6276	4717	3261	2678	2318	2203
MA_RS01180	NC_003552.1	264755	265330	+	576	10800	8657	7370	7043	6192	6134
MA_RS01185	NC_003552.1	265520	266245	-	726	8412	7280	7275	6884	4843	6026
MA_RS24330	NC_003552.1	266357	267910	-	1554	2663	2356	1921	1561	1726	1720
MA_RS01195	NC_003552.1	268090	269016	-	927	544	574	399	281	350	270
MA_RS01200	NC_003552.1	269064	270074	-	1011	373	267	248	173	181	156
MA_RS01205	NC_003552.1	270372	270833	+	462	5037	3819	4251	2812	1239	2449
MA_RS24335	NC_003552.1	271766	272872	+	1107	822	753	526	377	434	427
MA_RS01215	NC_003552.1	272895	273158	-	264	59	124	17	15	69	45
MA_RS01220	NC_003552.1	273162	273911	-	750	230	183	157	124	97	136
MA_RS01225	NC_003552.1	273899	274729	-	831	492	444	360	313	268	251
MA_RS01230	NC_003552.1	275092	276009	-	918	2176	1738	1470	1089	1028	1162
MA_RS24925	NC_003552.1	276030	276950	-	921	977	864	826	590	751	643
MA_RS01240	NC_003552.1	277044	277403	-	360	96	164	32	25	68	58
MA_RS01245	NC_003552.1	277529	278014	-	486	406	315	253	178	224	236
MA_RS01250	NC_003552.1	278024	280012	-	1989	6263	5254	4126	2980	3291	4540
MA_RS01255	NC_003552.1	280023	281699	-	1677	9239	8191	7035	4973	6143	9219
MA_RS01260	NC_003552.1	282243	282728	-	486	546	503	440	243	903	732
MA_RS01265	NC_003552.1	282852	284033	-	1182	6266	4802	4537	3299	4859	4375
MA_RS01270	NC_003552.1	284077	284376	-	300	64614	48204	51985	45592	165454	58984
MA_RS01275	NC_003552.1	284699	285247	-	549	750	676	593	452	861	641
MA_RS01280	NC_003552.1	285315	285776	-	462	617	501	400	321	732	534
MA_RS01285	NC_003552.1	285856	286701	-	846	3346	2593	2125	1937	4012	2803
MA_RS01290	NC_003552.1	287013	288359	+	1347	10182	7361	6290	5129	7935	8876
MA_RS01295	NC_003552.1	289325	290446	-	1122	15332	16523	14490	7180	83946	65398
MA_RS01300	NC_003552.1	290520	291626	-	1107	8076	6904	6067	5153	7382	7747
MA_RS01305	NC_003552.1	291736	292170	-	435	1445	1130	496	418	894	978
MA_RS01310	NC_003552.1	292157	293362	-	1206	6311	5105	3290	2924	4391	5556
MA_RS01315	NC_003552.1	293589	294857	-	1269	5092	3798	2155	2137	2515	3186
MA_RS01320	NC_003552.1	295222	296991	+	1770	51170	32509	23433	18436	22801	32143
MA_RS01325	NC_003552.1	297112	297936	+	825	1399	1375	923	572	1279	1250
MA_RS01330	NC_003552.1	298201	299268	-	1068	13409	12523	10745	8385	8497	9501
MA_RS01335	NC_003552.1	299683	302484	-	2802	19733	14813	13262	9816	7797	10603
MA_RS01340	NC_003552.1	303050	304429	-	1380	8906	7168	5867	4584	3719	4713
MA_RS01345	NC_003552.1	304839	305564	+	726	2882	2307	1840	1558	3013	3124
MA_RS01350	NC_003552.1	305577	307301	-	1725	6203	5176	4045	3541	2905	4183
MA_RS01355	NC_003552.1	307346	308860	-	1515	11429	10237	8170	7442	5827	7094
MA_RS01360	NC_003552.1	309318	310061	+	744	3136	2256	1430	1088	2998	2601
MA_RS01365	NC_003552.1	310333	311271	+	939	3294	2685	3159	2017	4010	3884
MA_RS24930	NC_003552.1	311375	311551	+	177	360	257	254	256	158	145
MA_RS01370	NC_003552.1	311592	311987	-	396	109	98	75	55	77	42
MA_RS01375	NC_003552.1	312034	313146	+	1113	22973	22748	14850	10708	33102	20483
MA_RS29250	NC_003552.1	313483	313608	+	126	332	314	228	199	318	254
MA_RS01380	NC_003552.1	313800	314696	-	897	5436	4875	3780	3741	2253	2972
MA_RS01385	NC_003552.1	315578	316501	+	924	478	340	506	416	356	397
MA_RS01390	NC_003552.1	316983	318230	+	1248	1765	2245	2598	2838	1197	2043
MA_RS01395	NC_003552.1	318584	319666	-	1083	673	553	492	317	510	414
MA_RS01400	NC_003552.1	320209	320282	-	74	119	178	201	248	119	61
MA_RS01405	NC_003552.1	320466	321026	+	561	1223	737	432	594	707	790
MA_RS01410	NC_003552.1	321289	321900	+	612	3802	3565	4342	3972	3837	4322
MA_RS01415	NC_003552.1	322186	322626	+	441	1374	1454	1450	1383	2541	1759
MA_RS01420	NC_003552.1	322988	324490	+	1503	4976	4593	3935	4282	2511	3389
MA_RS01425	NC_003552.1	324585	325715	-	1131	14498	13513	10042	10146	6340	6454
MA_RS01430	NC_003552.1	327079	328029	-	951	208465	196424	195215	181536	91227	154591
MA_RS01435	NC_003552.1	328042	328263	-	222	11808	9893	6767	5596	7541	11715
MA_RS01440	NC_003552.1	328281	328505	-	225	6558	6041	4139	4550	5713	8702
MA_RS01445	NC_003552.1	328505	329227	-	723	59144	54375	44818	42805	29685	51240
MA_RS01450	NC_003552.1	329229	329555	-	327	16914	16826	13592	16005	17628	28944
MA_RS01455	NC_003552.1	329552	330355	-	804	69629	62233	50790	48080	31862	59057
MA_RS01460	NC_003552.1	330358	331107	-	750	46706	42155	27799	34593	17712	34092
MA_RS01465	NC_003552.1	331104	332018	-	915	81507	87910	75373	84168	39850	78004
MA_RS01475	NC_003552.1	332799	333605	+	807	2361	1855	1841	1381	1184	1448
MA_RS01480	NC_003552.1	333941	334498	+	558	713	504	476	337	226	253
MA_RS01485	NC_003552.1	334718	336637	-	1920	11249	8928	10389	7642	5589	7819
MA_RS01490	NC_003552.1	337091	338149	+	1059	17429	15444	15553	11148	16117	16619
MA_RS01495	NC_003552.1	338264	339082	+	819	1208	1204	781	711	1063	1599
MA_RS01500	NC_003552.1	339069	340115	+	1047	1784	1441	1052	882	592	975
MA_RS01505	NC_003552.1	340130	340717	+	588	3543	3026	2719	2844	2394	2906
MA_RS01510	NC_003552.1	340889	341950	-	1062	10320	7860	7247	14334	4935	6837
MA_RS01515	NC_003552.1	341943	343088	-	1146	5804	4400	3936	8498	2809	3943
MA_RS01520	NC_003552.1	343085	345346	-	2262	19173	15199	13166	26563	8906	14409
MA_RS01525	NC_003552.1	345679	346452	+	774	2184	1780	2577	2806	1862	1843
MA_RS01530	NC_003552.1	346711	347997	+	1287	193	245	235	205	246	261
MA_RS01535	NC_003552.1	348379	349038	+	660	16885	14252	19237	13650	12462	13270
MA_RS01540	NC_003552.1	349120	349443	+	324	1357	1416	1266	1407	1536	1763
MA_RS01545	NC_003552.1	349474	349764	-	291	4240	3627	3856	3851	1968	2587
MA_RS01550	NC_003552.1	349803	350108	-	306	1229	788	402	532	483	349
MA_RS01555	NC_003552.1	350298	350555	+	258	731	623	827	560	497	518
MA_RS01560	NC_003552.1	350802	351662	+	861	10004	8050	7113	4664	6342	5980
MA_RS01565	NC_003552.1	351805	352455	+	651	448	337	366	269	420	361
MA_RS01570	NC_003552.1	353792	354220	+	429	182	145	103	47	179	354
MA_RS01575	NC_003552.1	354499	355260	-	762	25808	20859	15549	12466	9021	12786
MA_RS01580	NC_003552.1	355257	355964	-	708	17091	19162	15303	12901	9174	15130
MA_RS01585	NC_003552.1	355940	356881	-	942	29364	29813	23193	18076	13763	22710
MA_RS01590	NC_003552.1	356878	357780	-	903	32314	31264	24328	19730	11307	19796
MA_RS01595	NC_003552.1	357785	358726	-	942	43267	42896	35627	30138	21519	32642
