locus_tag,old_locus_tag,current_start_pos,gca_start,gca_extension_valid,gca_extension_check_reason,blast_best_species_hit,blast_pident,rna_step_ratio,weak_evidence_exclude,blast_pident_at_gca,blast_qstart_at_gca,rna_step_ratio_at_gca,orf_valid_at_gca,orf_note,reclassification
MA_RS05175,MA_0991,1184234,1184174,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589915.1,93.827,0.76,False,92.958,1,1.05,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS05530,MA_1061,1271657,1271666,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_148704378.1,29.661,0.75,False,29.661,181,0.78,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS06165,MA_1185,1411736,1411721,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_239451024.1,84.416,0.91,False,,,0.91,False,候補位置のコドンが非正準(ATA),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS06465,MA_1245,1484432,1484456,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_082088890.1,99.359,0.81,False,99.359,9,0.88,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS06535,MA_1260,1501332,1501356,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048170579.1,99.291,1.07,False,98.582,9,0.99,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS06545,MA_1262,1503107,1503098,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_390175975.1,97.686,0.82,False,,,0.84,False,候補位置のコドンが非正準(ATC),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS06610,MA_1273,1520928,1520874,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_082088887.1,94.065,1.01,False,93.769,19,1.02,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS06740,MA_1299,1559493,1559175,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590426.1,93.13,1.14,False,92.232,1,0.97,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS06915,MA_1333,1600296,1600374,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172462.1,79.048,0.85,False,79.747,1,1.16,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS25185,MA_1336,1602564,1602591,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_261789147.1,84.0,1.89,False,85.366,1,1.29,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS28500,MA_1420,1688910,1688874,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082088929.1,91.146,1.33,False,91.219,7,1.24,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS07595,MA_1464,1731303,1731330,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171507.1,87.755,4.15,False,86.232,1,1.51,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS07740,MA_1491,1764621,1764585,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171554.1,92.353,1.16,False,92.097,1,0.92,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS07760,MA_1495,1767327,1767342,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_239451000.1,100.0,1.12,False,100.0,1,1.01,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS07780,MA_1499,1769906,1769897,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048171568.1,97.971,0.97,False,97.971,4,0.85,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS07865,MA_1515,1792158,1792149,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_369323965.1,78.75,0.98,False,78.75,54,1.03,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS07945,MA_1530,1809651,1809561,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172182.1,86.491,0.74,False,86.828,1,1.2,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS07995,MA_1538,1819348,1819363,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174681.1,99.02,0.97,False,99.02,6,0.88,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS08050,MA_1551,1834797,1834899,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231590509.1,77.876,0.85,False,77.876,39,0.73,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS08160,MA_1570,1860781,1860913,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172241.1,93.96,2.89,False,94.286,1,1.13,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS08240,MA_1586,1885744,1885804,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048171934.1,97.051,0.98,False,97.051,21,1.06,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS08600,MA_1659,1990762,1990792,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048139562.1,89.011,1.01,False,,,1.04,False,候補位置のコドンが非正準(ATA),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS08610,MA_1661,1995881,1995905,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048139268.1,98.065,1.27,False,97.279,1,1.23,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS09085,MA_1750,2104499,2104808,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172829.1,94.286,1.29,False,94.309,1,0.98,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS09140,MA_1759,2131132,2130919,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589809.1,91.264,0.83,False,91.006,1,0.76,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS09250,MA_1779,2185637,2185631,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048140638.1,98.394,0.88,False,98.381,1,0.86,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS09630,MA_1847,2279406,2279385,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048139824.1,88.827,0.67,False,88.319,1,0.68,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS09650,MA_1850,2282517,2282526,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048139816.1,85.533,1.31,False,79.065,1,1.45,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS09725,MA_1864,2300902,2300782,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_011032144.1,33.721,0.72,False,33.721,22,1.02,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS24500,MA_1866,2303333,2303318,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_167829501.1,34.043,1.59,False,34.043,342,1.44,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS09770,MA_1873,2309699,2309960,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171159.1,89.822,1.19,False,88.562,1,1.35,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS10030,MA_1924,2376203,2376284,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_449405453.1,88.889,1.84,False,88.889,26,1.34,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS10140,MA_1945,2402769,2402874,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_052721599.1,87.234,2.35,False,86.64,1,1.17,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS10200,MA_1957,2420151,2420127,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_052730925.1,42.051,1.0,False,42.051,99,1.0,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS10420,MA_2001,2482654,2482567,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172938.1,92.219,0.58,False,93.223,2,1.49,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS10980,MA_2115,2619246,2619045,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_338037943.1,78.778,1.42,False,88.976,1,0.96,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS11105,MA_2137,2640925,2640772,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048139112.1,80.513,1.08,False,81.026,1,2.69,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS11170,MA_2151,2661915,2661909,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_052730860.1,87.259,0.78,False,87.356,1,0.71,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS11270,MA_2172,2678446,2678503,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172866.1,63.462,0.85,False,64.103,1,0.74,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS24570,MA_2196,2702383,2702476,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_148705599.1,86.066,2.07,False,86.813,1,1.09,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS11505,MA_2217,2727407,2727569,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172263.1,92.994,1.01,False,93.208,1,0.92,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS11710,MA_2256,2775217,2775244,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_011035100.1,52.803,0.86,False,53.061,2,0.69,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS11760,MA_2265,2786849,2786960,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_239450955.1,83.582,1.42,False,86.585,1,0.92,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS11805,MA_4668,2798351,2798384,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174673.1,95.588,1.42,False,95.588,12,1.27,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS11885,MA_2290,2816246,2816228,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048118173.1,77.215,1.32,False,78.481,1,2.14,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS11915,MA_2294,2822353,2822401,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_052721622.1,84.174,1.57,False,84.079,1,1.17,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS26995,MA_2338,2878365,2878407,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082088976.1,91.379,1.01,False,91.176,1,0.89,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS12160,MA_2346,2888933,2888882,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082089014.1,90.719,2.59,False,89.905,1,1.42,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS12460,MA_2401,2973692,2973629,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172451.1,89.767,3.09,False,92.784,1,1.11,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS12475,MA_2404,2975931,2975940,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589768.1,90.232,1.12,False,,,1.1,False,候補位置のコドンが非正準(CTG),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS28665,MA_2466,3061074,3061173,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_011021898.1,61.333,0.89,False,68.269,6,1.16,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS12900,MA_2481,3078742,3078790,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048037867.1,36.977,1.04,False,36.977,30,0.89,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS12950,MA_2490,3088591,3088600,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048157019.1,86.889,1.02,False,86.889,4,1.04,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS13225,MA_2543,3163042,3163000,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171116.1,86.93,1.27,False,86.349,1,1.08,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS13380,MA_2572,3200285,3200276,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173330.1,94.277,0.71,False,94.277,1,0.74,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS13430,MA_2581,3210990,3210957,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048045975.1,44.898,1.1,False,,,0.98,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS13475,MA_2588,3220204,3220102,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_162197631.1,53.153,1.0,False,55.056,1,1.04,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS13500,MA_2593,3224470,3224479,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_158024130.1,36.5,0.82,False,36.5,17,0.8,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS13745,MA_2640,3270322,3270346,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172609.1,93.514,0.61,False,93.22,1,1.34,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS14035,MA_2688,3339710,3339686,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172513.1,32.609,0.97,False,32.609,13,1.01,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS14050,MA_2689,3342554,3342539,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_148704927.1,96.061,4.25,False,,,2.03,False,候補位置のコドンが非正準(ATA),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS14060,MA_2690,3343690,3343798,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173368.1,95.437,1.81,False,94.898,1,1.32,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS14180,MA_2710,3373557,3373797,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048121533.1,76.596,1.25,False,80.303,1,1.02,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS25665,MA_2770,3453640,3453751,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_015411731.1,33.605,1.74,False,33.626,1,1.92,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS28220,MA_2778,3463548,3463455,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170816.1,75.862,1.36,False,75.862,49,1.18,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS25685,MA_2799,3492840,3492816,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_226987756.1,87.059,0.88,False,,,1.29,False,候補位置のコドンが非正準(ATA),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS14820,MA_2827,3529600,3529720,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173319.1,90.566,2.32,False,88.889,1,1.13,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS14865,MA_2834,3538685,3538709,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048140260.1,80.826,1.44,False,80.967,1,1.42,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
