locus_tag,old_locus_tag,rna_step_ratio,current_start_pos,current_codon,rna_best_pos,rna_best_codon,blast_supported_pos,blast_supported_codon,blast_pident,blast_qstart_aa,depth_at_current,depth_at_rna_best,depth_at_blast,depth_70bp_further,reclassification,comment,reevaluation,reevaluation_comment
MA_RS17265,MA_3305,7.78,4079759,ATG,4079798,ATG,4079810,TTG,95.28,18,317.5,31.1,9.6,140.1,判断保留,RNA候補とBLAST支持位置は12bp差と近接し、BLAST同一性95.3%・qstart=18も悪くない。ただし70bp先の深度が140と候補位置(31)より逆に増加しており(+451%)、単純な同一転写物のなだらかな裾ではなく、その先で別の(無関係な)高発現領域に近づいている可能性が高い。したがって遠方の深度維持を「この遺伝子の転写が続いている証拠」とは解釈できず、保留とする。,対象外(BLASTは一定の独立証拠を持つ),"BLAST qstart=18・同一性95.28%は「真の代替候補」群の実測範囲(qstart<=19, pident>=86.5%)からは外れないか際どく、RNA単独証拠への格下げは行わない。RNA-BLAST間の位置不一致(4079810 vs 4079798)自体が保留理由。"
MA_RS06415,MA_1234,7.11,1468138,ATG,1468150,GTG,1468195,TTG,97.085,20,21.2,9.7,1.0,1.8,判断保留,RNA深度は現行の45.9%、70bp先で19%。BLAST支持位置とは45bp差(同一性97.1%、qstart=20)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS29305, 650bp先)に到達するよりかなり手前の150bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS23395,MA_4483,6.37,5531741,GTG,5531681,TTG,5531660,ATG,90.461,28,256.7,9.4,9.2,29.0,判断保留,RNA深度は現行の3.6%、70bp先で310%。BLAST支持位置とは21bp差(同一性90.5%、qstart=28)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,候補位置の残存深度が現行の3.7%と薄く、単調減衰テールの一部である可能性を否定できない。70bp先でも深度が候補位置の309%残っており、明瞭な単一ステップと言うより広い低レベル領域に見える。
MA_RS08060,MA_1553,4.32,1836408,ATG,1836438,TTG,1836459,ATG,95.575,18,947.9,272.1,121.7,38.9,判断保留,RNA深度は現行の28.7%、70bp先で14%。BLAST支持位置とは21bp差(同一性95.6%、qstart=18)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,対象外(BLASTは一定の独立証拠を持つ),"BLAST qstart=18・同一性95.575%は「真の代替候補」群の実測範囲(qstart<=19, pident>=86.5%)からは外れないか際どく、RNA単独証拠への格下げは行わない。RNA-BLAST間の位置不一致(1836459 vs 1836438)自体が保留理由。"
MA_RS05250,MA_1004,4.23,1198131,ATG,1198182,GTG,1198263,ATG,95.149,45,186.0,74.6,3.2,5.6,判断保留,RNA深度は現行の40.1%、70bp先で8%。BLAST支持位置とは81bp差(同一性95.1%、qstart=45)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS05240, 1477bp先)に到達するよりかなり手前の300bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS03935,MA_0753,4.15,873486,GTG,873477,GTG,873465,TTG,66.154,76,142.4,75.8,39.5,24.8,判断保留,BLASTのqstart=76・同一性66.2%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の53.3%(70bp先で33%まで維持)。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS26505, 1131bp先)に到達するよりかなり手前の150bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS14355,,4.15,3420363,TTG,3420312,GTG,3420279,ATG,76.923,29,863.9,103.5,78.8,78.0,判断保留,RNA深度は現行の12.0%、70bp先で75%。BLAST支持位置とは33bp差(同一性76.9%、qstart=29)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS14360, 769bp先)に到達するよりかなり手前の300bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS10510,MA_2020,3.55,2508974,GTG,2508905,ATG,2508809,TTG,90.461,56,249.7,6.0,133.8,12.6,判断保留,BLASTのqstart=56・同一性90.5%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の2.4%(70bp先で211%まで維持)。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS10505, 699bp先)に到達するよりかなり手前の150bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS02100,MA_0399,3.18,482086,GTG,482026,ATG,481978,ATG,90.461,37,261.3,9.8,30.9,35.7,判断保留,RNA深度は現行の3.8%、70bp先で364%。BLAST支持位置とは48bp差(同一性90.5%、qstart=37)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS02105, 914bp先)に到達するよりかなり手前の150bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS14010,,3.15,3334850,ATG,3334892,TTG,3334913,GTG,93.382,4,18.0,3.5,3.1,3.0,判断保留,RNA深度は現行の19.7%、70bp先で85%。BLAST支持位置とは21bp差(同一性93.4%、qstart=4)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,対象外(BLASTは一定の独立証拠を持つ),"BLAST qstart=4・同一性93.382%は「真の代替候補」群の実測範囲(qstart<=19, pident>=86.5%)からは外れないか際どく、RNA単独証拠への格下げは行わない。RNA-BLAST間の位置不一致(3334913 vs 3334892)自体が保留理由。"
MA_RS17095,MA_3276,3.11,4042056,ATG,4042077,TTG,4042089,TTG,80.503,12,4.0,1.0,0.2,0.0,判断保留,RNA深度は現行の25.0%、70bp先で0%。BLAST支持位置とは12bp差(同一性80.5%、qstart=12)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,BLAST証拠は弱いが、RNA-seq側の段差も中確信度群の典型例ほど明瞭とは言えない。
MA_RS12145,MA_2343,3.09,2882418,ATG,2882406,ATG,2882394,ATG,32.203,16,54.4,29.7,16.4,22.6,判断保留,BLASTのqstart=16・同一性32.2%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の54.7%(70bp先で76%まで維持)。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS12140, 739bp先)に到達するよりかなり手前の150bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS10945,MA_2108,3.05,2613066,ATG,2613108,ATG,2613135,TTG,97.115,24,451.3,213.5,79.6,55.7,判断保留,RNA深度は現行の47.3%、70bp先で26%。BLAST支持位置とは27bp差(同一性97.1%、qstart=24)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS10950, 937bp先)に到達するよりかなり手前の300bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
