locus_tag,old_locus_tag,rna_step_ratio,current_start_pos,current_codon,rna_best_pos,rna_best_codon,blast_supported_pos,blast_supported_codon,blast_pident,blast_qstart_aa,depth_at_current,depth_at_rna_best,depth_at_blast,depth_70bp_further,reclassification,comment
MA_RS16705,MA_3198,14.92,3958639,ATG,3958624,GTG,3958609,TTG,96.52,11,2028.8,212.5,121.7,77.9,判断保留,RNA深度は現行の10.5%、70bp先で37%。BLAST支持位置とは15bp差(同一性96.5%、qstart=11)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS12405,MA_2391,11.61,2961448,ATG,2961328,TTG,2961250,TTG,91.617,67,2204.4,1.2,0.0,0.0,アーティファクト,BLASTのqstart=67・同一性91.6%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の0.1%(70bp先で0%まで減衰)。
MA_RS22115,MA_4235,11.18,5160168,TTG,5160159,TTG,5160090,GTG,95.319,27,947.6,538.1,12.4,12.3,判断保留,RNA深度は現行の56.8%、70bp先で2%。BLAST支持位置とは69bp差(同一性95.3%、qstart=27)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS20995,MA_4023,9.44,4936904,ATG,4936928,TTG,4936991,TTG,80.06,30,164.6,13.0,2.0,1.3,判断保留,現行開始から候補位置にかけて深度が7.9%まで単調減衰しており、独立した新規ピークというより自身の転写境界の減衰テールに見える。BLAST支持位置とは63bp離れており一致しない(同一性80.1%、qstart=30)。
MA_RS02285,MA_0436,8.91,516253,ATG,516199,ATG,516193,GTG,95.468,21,1431.3,30.5,25.1,28.7,判断保留,RNA深度は現行の2.1%、70bp先で94%。BLAST支持位置とは6bp差(同一性95.5%、qstart=21)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS03285,,8.43,736513,ATG,736555,TTG,736660,ATG,83.951,41,1461.3,166.6,85.8,82.8,判断保留,RNA深度は現行の11.4%、70bp先で50%。BLAST支持位置とは105bp差(同一性84.0%、qstart=41)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS24130,MA_4624,8.22,5705824,ATG,5705851,TTG,5705863,GTG,83.529,14,597.9,56.6,37.2,1.0,判断保留,現行開始から候補位置にかけて深度が9.5%まで単調減衰しており、独立した新規ピークというより自身の転写境界の減衰テールに見える。BLAST支持位置とは12bp近接するが(同一性83.5%、qstart=14)。
MA_RS17265,MA_3305,7.78,4079759,ATG,4079798,ATG,4079810,TTG,95.28,18,317.5,31.1,9.6,140.1,判断保留,RNA候補とBLAST支持位置は12bp差と近接し、BLAST同一性95.3%・qstart=18も悪くない。ただし70bp先の深度が140と候補位置(31)より逆に増加しており(+451%)、単純な同一転写物のなだらかな裾ではなく、その先で別の(無関係な)高発現領域に近づいている可能性が高い。したがって遠方の深度維持を「この遺伝子の転写が続いている証拠」とは解釈できず、保留とする。
MA_RS07220,MA_1393,7.73,1659940,ATG,1659964,ATG,1659973,ATG,96.028,4,2567.5,408.5,228.3,253.2,真の代替候補,RNA候補とBLAST支持位置が9bp差と近接し、BLAST同一性96.0%・qstart=4も良好。ただし70bp先でも深度が62%残っており、この区間全体が転写されている可能性が高く、正確な開始コドンはRNA-seq単独では確定できない。
MA_RS22175,MA_4247,7.53,5170319,GTG,5170262,GTG,5170253,GTG,94.687,19,414.5,32.9,20.5,29.8,真の代替候補,RNA候補とBLAST支持位置が9bp差と近接し、BLAST同一性94.7%・qstart=19も良好。ただし70bp先でも深度が91%残っており、この区間全体が転写されている可能性が高く、正確な開始コドンはRNA-seq単独では確定できない。
MA_RS06415,MA_1234,7.11,1468138,ATG,1468150,GTG,1468195,TTG,97.085,20,21.2,9.7,1.0,1.8,判断保留,RNA深度は現行の45.9%、70bp先で19%。BLAST支持位置とは45bp差(同一性97.1%、qstart=20)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS23395,MA_4483,6.37,5531741,GTG,5531681,TTG,5531660,ATG,90.461,28,256.7,9.4,9.2,29.0,判断保留,RNA深度は現行の3.6%、70bp先で310%。BLAST支持位置とは21bp差(同一性90.5%、qstart=28)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS17800,,5.92,4215701,ATG,4215674,GTG,4215668,TTG,96.875,12,5632.8,589.5,576.2,625.8,真の代替候補,RNA候補とBLAST支持位置が6bp差と近接し、BLAST同一性96.9%・qstart=12も良好。ただし70bp先でも深度が106%残っており、この区間全体が転写されている可能性が高く、正確な開始コドンはRNA-seq単独では確定できない。
MA_RS08060,MA_1553,4.32,1836408,ATG,1836438,TTG,1836459,ATG,95.575,18,947.9,272.1,121.7,38.9,判断保留,RNA深度は現行の28.7%、70bp先で14%。BLAST支持位置とは21bp差(同一性95.6%、qstart=18)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS21155,MA_4053,4.24,4972765,GTG,4972777,ATG,4972792,ATG,96.032,1,447.2,228.1,99.5,154.4,真の代替候補,RNA候補とBLAST支持位置が15bp差と近接し、BLAST同一性96.0%・qstart=1も良好。ただし70bp先でも深度が68%残っており、この区間全体が転写されている可能性が高く、正確な開始コドンはRNA-seq単独では確定できない。
MA_RS05250,MA_1004,4.23,1198131,ATG,1198182,GTG,1198263,ATG,95.149,45,186.0,74.6,3.2,5.6,判断保留,RNA深度は現行の40.1%、70bp先で8%。BLAST支持位置とは81bp差(同一性95.1%、qstart=45)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS03935,MA_0753,4.15,873486,GTG,873477,GTG,873465,TTG,66.154,76,142.4,75.8,39.5,24.8,判断保留,BLASTのqstart=76・同一性66.2%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の53.3%(70bp先で33%まで維持)。
MA_RS14355,,4.15,3420363,TTG,3420312,GTG,3420279,ATG,76.923,29,863.9,103.5,78.8,78.0,判断保留,RNA深度は現行の12.0%、70bp先で75%。BLAST支持位置とは33bp差(同一性76.9%、qstart=29)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS10510,MA_2020,3.55,2508974,GTG,2508905,ATG,2508809,TTG,90.461,56,249.7,6.0,133.8,12.6,判断保留,BLASTのqstart=56・同一性90.5%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の2.4%(70bp先で211%まで維持)。
MA_RS02100,MA_0399,3.18,482086,GTG,482026,ATG,481978,ATG,90.461,37,261.3,9.8,30.9,35.7,判断保留,RNA深度は現行の3.8%、70bp先で364%。BLAST支持位置とは48bp差(同一性90.5%、qstart=37)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS14010,,3.15,3334850,ATG,3334892,TTG,3334913,GTG,93.382,4,18.0,3.5,3.1,3.0,判断保留,RNA深度は現行の19.7%、70bp先で85%。BLAST支持位置とは21bp差(同一性93.4%、qstart=4)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS17095,MA_3276,3.11,4042056,ATG,4042077,TTG,4042089,TTG,80.503,12,4.0,1.0,0.2,0.0,判断保留,RNA深度は現行の25.0%、70bp先で0%。BLAST支持位置とは12bp差(同一性80.5%、qstart=12)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
MA_RS12145,MA_2343,3.09,2882418,ATG,2882406,ATG,2882394,ATG,32.203,16,54.4,29.7,16.4,22.6,判断保留,BLASTのqstart=16・同一性32.2%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の54.7%(70bp先で76%まで維持)。
MA_RS10945,MA_2108,3.05,2613066,ATG,2613108,ATG,2613135,TTG,97.115,24,451.3,213.5,79.6,55.7,判断保留,RNA深度は現行の47.3%、70bp先で26%。BLAST支持位置とは27bp差(同一性97.1%、qstart=24)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。
