locus_tag,old_locus_tag,current_start_pos,gca_start,gca_extension_valid,gca_extension_check_reason,blast_best_species_hit,blast_pident,rna_step_ratio,weak_evidence_exclude
MA_RS02405,MA_0460,539017,539029,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169591.1,93.916,1.71,False
MA_RS02480,MA_0474,554618,554684,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_148704756.1,96.786,1.27,False
MA_RS02505,MA_0480,561176,561200,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231590368.1,87.692,1.12,False
MA_RS29695,MA_0485,564629,564587,False,候補位置のコドンが非正準(CTG),WP_048171609.1,79.091,1.0,True
MA_RS02590,MA_0497,582219,582003,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590375.1,96.842,1.12,False
MA_RS28335,MA_0524,611840,611747,False,候補位置のコドンが非正準(ATT),,,0.56,True
MA_RS02785,MA_0531,620098,620089,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169688.1,97.959,1.19,False
MA_RS02930,MA_0557,655226,655538,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082089107.1,76.944,0.82,False
MA_RS03005,MA_0572,676154,676187,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048142198.1,81.884,1.25,False
MA_RS03020,MA_0575,678843,678825,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169753.1,96.711,1.12,False
MA_RS03060,MA_0583,687412,687382,False,候補位置のコドンが非正準(CTG),WP_048169766.1,97.342,1.06,True
MA_RS03265,MA_0620,730368,730311,False,候補位置のコドンが非正準(ATA),WP_048143651.1,79.848,0.85,True
MA_RS03445,MA_0655,771519,771537,False,候補位置のコドンが非正準(ATA),WP_048174470.1,95.876,1.3,True
MA_RS03465,MA_0659,776411,776384,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231590392.1,93.379,0.98,False
MA_RS03480,MA_0662,779151,779127,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169919.1,98.049,0.72,False
MA_RS03485,MA_0663,779770,779761,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169921.1,98.98,0.84,False
MA_RS03490,MA_0664,780362,780353,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_315968705.1,93.487,1.07,False
MA_RS03530,MA_0672,787450,787438,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_226990742.1,100.0,4.92,False
MA_RS03600,MA_0687,803364,803352,False,候補位置のコドンが非正準(ATT),WP_048169958.1,97.308,1.25,True
MA_RS28350,MA_0733,853879,853870,False,候補位置のコドンが非正準(ATT),WP_048139369.1,80.597,0.82,True
MA_RS03960,MA_0758,877867,877963,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170070.1,83.73,1.39,False
MA_RS04100,MA_0783,917382,917292,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170117.1,95.467,0.88,False
MA_RS04105,MA_0784,918232,918250,False,候補位置のコドンが非正準(CTG),WP_048170119.1,90.722,1.01,True
MA_RS04340,MA_0833,972226,972235,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048170201.1,96.853,0.7,False
MA_RS04395,MA_0843,982633,982543,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048120112.1,89.937,1.03,False
MA_RS04465,MA_0857,1015928,1015874,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170225.1,94.953,1.49,False
MA_RS04485,MA_0861,1021908,1021878,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048170233.1,60.403,0.71,False
MA_RS04520,MA_0868,1031306,1031312,False,候補位置のコドンが非正準(ATA),WP_048170241.1,97.647,1.18,True
MA_RS04535,MA_0871,1035734,1035809,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174493.1,96.762,0.72,False
MA_RS04580,MA_0880,1050588,1050570,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590409.1,94.718,0.92,False
MA_RS04610,MA_0885,1060666,1060660,False,候補位置のコドンが非正準(CTG),WP_048170273.1,93.262,4.87,True
MA_RS04660,MA_0895,1072160,1072166,False,候補位置のコドンが非正準(ATC),WP_080929504.1,96.33,1.35,True
MA_RS04685,MA_0902,1080471,1080450,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_011033947.1,96.667,1.06,False
MA_RS04845,MA_0934,1113955,1113961,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048039218.1,91.667,0.52,False
MA_RS04940,MA_0950,1130084,1130081,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170364.1,96.591,1.08,False
MA_RS05080,MA_0975,1165686,1165692,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170477.1,96.491,2.94,False
MA_RS05090,MA_0977,1167535,1167553,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048120548.1,92.537,1.2,False
MA_RS05175,MA_0991,1184234,1184174,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589915.1,93.827,0.76,False
MA_RS05530,MA_1061,1271657,1271666,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_148704378.1,29.661,0.75,False
MA_RS05970,MA_1146,1355292,1355223,False,候補位置のコドンが非正準(ATT),WP_048170735.1,96.641,1.22,True
MA_RS06165,MA_1185,1411736,1411721,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_239451024.1,84.416,0.91,False
MA_RS06200,MA_1192,1420585,1420630,False,候補位置のコドンが非正準(ATA),WP_048173456.1,93.541,1.45,True
MA_RS06465,MA_1245,1484432,1484456,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_082088890.1,99.359,0.81,False
MA_RS06535,MA_1260,1501332,1501356,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048170579.1,99.291,1.07,False
MA_RS06545,MA_1262,1503107,1503098,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_390175975.1,97.686,0.82,False
MA_RS06560,MA_1265,1509184,1509241,False,候補位置のコドンが非正準(ATC),WP_048170572.1,98.682,1.08,True
MA_RS06610,MA_1273,1520928,1520874,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_082088887.1,94.065,1.01,False
MA_RS06660,MA_1283,1536969,1536960,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.0,True
MA_RS06740,MA_1299,1559493,1559175,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590426.1,93.13,1.14,False
MA_RS06915,MA_1333,1600296,1600374,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172462.1,79.048,0.85,False
MA_RS25185,MA_1336,1602564,1602591,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_261789147.1,84.0,1.89,False
MA_RS25190,MA_1337,1602931,1602916,False,候補位置のコドンが非正準(ATT),WP_261789147.1,95.238,1.5,True
MA_RS06940,MA_1338,1603305,1603275,False,候補位置のコドンが非正準(ATC),WP_231589841.1,96.923,1.37,True
MA_RS28500,MA_1420,1688910,1688874,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082088929.1,91.146,1.33,False
MA_RS07595,MA_1464,1731303,1731330,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171507.1,87.755,4.15,False
MA_RS07740,MA_1491,1764621,1764585,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171554.1,92.353,1.16,False
MA_RS07760,MA_1495,1767327,1767342,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_239451000.1,100.0,1.12,False
MA_RS07780,MA_1499,1769906,1769897,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048171568.1,97.971,0.97,False
MA_RS07865,MA_1515,1792158,1792149,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_369323965.1,78.75,0.98,False
MA_RS29170,MA_1527,1805722,1805731,False,候補位置のコドンが非正準(ATA),WP_239451003.1,65.421,1.87,True
MA_RS07945,MA_1530,1809651,1809561,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172182.1,86.491,0.74,False
MA_RS07995,MA_1538,1819348,1819363,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174681.1,99.02,0.97,False
MA_RS08050,MA_1551,1834797,1834899,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231590509.1,77.876,0.85,False
MA_RS08090,MA_1557,1843019,1843025,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.23,True
MA_RS08160,MA_1570,1860781,1860913,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172241.1,93.96,2.89,False
MA_RS08240,MA_1586,1885744,1885804,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048171934.1,97.051,0.98,False
MA_RS08440,MA_1625,1938930,1938915,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.2,True
MA_RS08485,MA_1634,1956081,1956033,False,候補位置のコドンが非正準(ATA),WP_048166423.1,32.487,1.48,True
MA_RS08600,MA_1659,1990762,1990792,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048139562.1,89.011,1.01,False
MA_RS08610,MA_1661,1995881,1995905,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048139268.1,98.065,1.27,False
MA_RS25245,MA_1687,2025402,2025480,False,候補位置のコドンが非正準(CTG),WP_082089027.1,90.61,1.12,True
MA_RS09085,MA_1750,2104499,2104808,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172829.1,94.286,1.29,False
MA_RS09140,MA_1759,2131132,2130919,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589809.1,91.264,0.83,False
MA_RS09250,MA_1779,2185637,2185631,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048140638.1,98.394,0.88,False
MA_RS09485,MA_1822,2240787,2240781,False,候補位置のコドンが非正準(CTG),WP_048171956.1,99.219,0.92,True
MA_RS09525,MA_1831,2251068,2251008,False,候補位置のコドンが非正準(ATA),WP_261789134.1,97.059,1.55,True
MA_RS09630,MA_1847,2279406,2279385,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048139824.1,88.827,0.67,False
MA_RS09650,MA_1850,2282517,2282526,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048139816.1,85.533,1.31,False
MA_RS09725,MA_1864,2300902,2300782,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_011032144.1,33.721,0.72,False
MA_RS09730,MA_1865,2301480,2301504,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.93,True
MA_RS24500,MA_1866,2303333,2303318,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_167829501.1,34.043,1.59,False
MA_RS09770,MA_1873,2309699,2309960,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171159.1,89.822,1.19,False
MA_RS09825,MA_1884,2322065,2322068,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.83,True
MA_RS09845,MA_1888,2325100,2325061,True,妥当(区間にストップコドンなし、開始コドンも正準),,,4.14,True
MA_RS09860,MA_1891,2329837,2329846,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.15,True
MA_RS09895,MA_1898,2339133,2339142,True,妥当(区間にストップコドンなし、開始コドンも正準),,,2.28,True
MA_RS09995,MA_1917,2369966,2369960,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.32,True
MA_RS25435,MA_1918,2370274,2370226,False,候補位置のコドンが非正準(ATT),WP_048166746.1,36.082,0.87,True
MA_RS10030,MA_1924,2376203,2376284,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_449405453.1,88.889,1.84,False
MA_RS10050,MA_1929,2382671,2382665,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.63,True
MA_RS10140,MA_1945,2402769,2402874,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_052721599.1,87.234,2.35,False
MA_RS10200,MA_1957,2420151,2420127,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_052730925.1,42.051,1.0,False
MA_RS10410,MA_1999,2475187,2475094,False,候補位置のコドンが非正準(ATA),WP_048117402.1,77.758,0.99,True
MA_RS10420,MA_2001,2482654,2482567,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172938.1,92.219,0.58,False
MA_RS10595,MA_2036,2528797,2528890,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.35,True
MA_RS10625,MA_2042,2532488,2532491,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.32,True
MA_RS24545,MA_2043,2533435,2533810,False,候補位置のコドンが非正準(ATT),WP_052721587.1,79.856,1.02,True
MA_RS10760,MA_2070,2562950,2563061,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,1.1,True
MA_RS10865,MA_2092,2591856,2591862,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.12,True
MA_RS24560,MA_2102,2604769,2604778,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.3,True
MA_RS10980,MA_2115,2619246,2619045,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_338037943.1,78.778,1.42,False
MA_RS11105,MA_2137,2640925,2640772,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048139112.1,80.513,1.08,False
MA_RS11110,MA_2138,2643239,2643332,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.97,True
MA_RS11170,MA_2151,2661915,2661909,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_052730860.1,87.259,0.78,False
MA_RS11185,MA_2154,2664798,2664795,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.94,True
MA_RS11270,MA_2172,2678446,2678503,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172866.1,63.462,0.85,False
MA_RS24570,MA_2196,2702383,2702476,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_148705599.1,86.066,2.07,False
MA_RS11420,MA_2203,2712964,2713051,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.03,True
MA_RS11425,MA_2204,2713772,2713817,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.56,True
MA_RS11445,MA_2208,2716221,2716164,False,候補位置のコドンが非正準(ATA),WP_048172251.1,91.169,0.9,True
MA_RS11505,MA_2217,2727407,2727569,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172263.1,92.994,1.01,False
MA_RS11510,MA_2218,2729208,2729160,False,候補位置のコドンが非正準(ATT),WP_048172265.1,89.167,0.86,True
MA_RS11540,MA_2225,2736512,2736566,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,0.95,True
MA_RS11580,MA_2234,2745365,2745242,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.1,True
MA_RS11710,MA_2256,2775217,2775244,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_011035100.1,52.803,0.86,False
MA_RS11760,MA_2265,2786849,2786960,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_239450955.1,83.582,1.42,False
MA_RS11805,MA_4668,2798351,2798384,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174673.1,95.588,1.42,False
MA_RS11885,MA_2290,2816246,2816228,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048118173.1,77.215,1.32,False
MA_RS11915,MA_2294,2822353,2822401,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_052721622.1,84.174,1.57,False
MA_RS26995,MA_2338,2878365,2878407,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082088976.1,91.379,1.01,False
MA_RS12160,MA_2346,2888933,2888882,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082089014.1,90.719,2.59,False
MA_RS12235,MA_2360,2912153,2911961,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.14,True
MA_RS12415,MA_2394,2965720,2965711,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.21,True
MA_RS12425,MA_2396,2966867,2966840,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.02,True
MA_RS24605,MA_2397,2967941,2967830,False,候補位置のコドンが非正準(ATT),WP_052721619.1,89.969,1.09,True
MA_RS12445,MA_2398,2970898,2970844,False,候補位置のコドンが非正準(ATC),WP_048172454.1,88.75,1.59,True
MA_RS12460,MA_2401,2973692,2973629,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172451.1,89.767,3.09,False
MA_RS12475,MA_2404,2975931,2975940,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589768.1,90.232,1.12,False
MA_RS28665,MA_2466,3061074,3061173,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_011021898.1,61.333,0.89,False
MA_RS12865,MA_2475,3070427,3070382,False,候補位置のコドンが非正準(ATC),WP_048140180.1,83.251,1.03,True
MA_RS12900,MA_2481,3078742,3078790,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048037867.1,36.977,1.04,False
MA_RS12910,MA_2483,3080771,3080828,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,1.02,True
MA_RS12950,MA_2490,3088591,3088600,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048157019.1,86.889,1.02,False
MA_RS13150,MA_2528,3144546,3144510,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,1.64,True
MA_RS13180,MA_2534,3150613,3150580,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.51,True
MA_RS13225,MA_2543,3163042,3163000,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171116.1,86.93,1.27,False
MA_RS13380,MA_2572,3200285,3200276,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173330.1,94.277,0.71,False
MA_RS13430,MA_2581,3210990,3210957,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048045975.1,44.898,1.1,False
MA_RS13460,MA_2586,3219280,3219289,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.65,True
MA_RS13475,MA_2588,3220204,3220102,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_162197631.1,53.153,1.0,False
MA_RS13500,MA_2593,3224470,3224479,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_158024130.1,36.5,0.82,False
MA_RS13550,MA_2602,3234708,3234723,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.59,True
MA_RS13600,MA_2610,3241740,3241869,True,妥当(区間にストップコドンなし、開始コドンも正準),,,2.82,True
MA_RS13745,MA_2640,3270322,3270346,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172609.1,93.514,0.61,False
MA_RS14035,MA_2688,3339710,3339686,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172513.1,32.609,0.97,False
MA_RS14050,MA_2689,3342554,3342539,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_148704927.1,96.061,4.25,False
MA_RS14060,MA_2690,3343690,3343798,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173368.1,95.437,1.81,False
MA_RS14130,MA_2700,3362865,3362880,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.36,True
MA_RS14180,MA_2710,3373557,3373797,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048121533.1,76.596,1.25,False
MA_RS14500,MA_2768,3451910,3451979,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.02,True
MA_RS25665,MA_2770,3453640,3453751,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_015411731.1,33.605,1.74,False
MA_RS28220,MA_2778,3463548,3463455,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170816.1,75.862,1.36,False
MA_RS25685,MA_2799,3492840,3492816,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_226987756.1,87.059,0.88,False
MA_RS14820,MA_2827,3529600,3529720,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173319.1,90.566,2.32,False
MA_RS14865,MA_2834,3538685,3538709,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048140260.1,80.826,1.44,False
MA_RS14915,MA_2844,3550490,3550478,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174914.1,95.534,1.21,False
MA_RS15100,MA_2878,3590806,3590788,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174824.1,94.928,1.04,False
MA_RS15105,MA_2879,3592050,3592083,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173050.1,93.846,1.07,False
MA_RS15130,MA_2884,3596374,3596134,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173054.1,86.301,1.16,False
MA_RS15220,MA_2903,3626393,3626459,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_069575332.1,58.478,1.69,False
MA_RS15250,MA_2909,3637083,3637089,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048171361.1,96.436,0.82,False
MA_RS15315,MA_2925,3650330,3650312,False,候補位置のコドンが非正準(ATA),WP_231590469.1,89.277,1.18,True
MA_RS15400,MA_2941,3671681,3671633,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.09,True
MA_RS15475,MA_2952,3684520,3684547,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048143398.1,84.713,1.26,False
MA_RS15520,MA_2961,3694952,3695054,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_269430818.1,95.753,2.09,False
MA_RS15585,MA_2973,3709434,3709377,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048171680.1,91.25,1.36,False
MA_RS27305,MA_3037,3774512,3774488,False,候補位置のコドンが非正準(ATT),,,0.27,True
MA_RS15940,MA_3046,3782562,3782577,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173188.1,96.795,7.76,False
MA_RS15960,MA_3050,3787150,3787093,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_052721663.1,98.288,0.98,False
MA_RS15995,MA_3058,3799158,3799197,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048173174.1,92.357,1.59,False
MA_RS16040,MA_3067,3808845,3808842,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173160.1,93.429,1.27,False
MA_RS16110,MA_3081,3822684,3822726,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174850.1,90.458,1.0,False
MA_RS16160,MA_3089,3836260,3836335,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,0.94,True
MA_RS16165,MA_3090,3836890,3836878,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.55,True
MA_RS16355,MA_3128,3887226,3887214,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173487.1,95.303,0.87,False
MA_RS16505,MA_3156,3918156,3918168,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.23,True
MA_RS16510,MA_3157,3918503,3918506,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.79,True
MA_RS16530,MA_3162,3921638,3921647,False,候補位置のコドンが非正準(CTG),WP_390175977.1,92.982,0.87,True
MA_RS16550,MA_3166,3923398,3923350,False,候補位置のコドンが非正準(ATA),WP_048170842.1,99.153,771.03,True
MA_RS16595,MA_3175,3935436,3935373,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.8,True
MA_RS16655,MA_3189,3949954,3949999,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048143218.1,83.893,0.7,False
MA_RS16685,MA_3193,3955803,3955821,False,候補位置のコドンが非正準(CTG),WP_048170795.1,96.234,1.28,True
MA_RS16770,MA_3212,3976913,3976928,False,候補位置のコドンが非正準(ATT),WP_011032389.1,98.864,1.45,True
MA_RS27345,MA_3220,3984785,3984821,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.02,True
MA_RS16865,MA_3231,3993372,3993588,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,1.04,True
