locus_tag,old_locus_tag,current_start_pos,single_evidence_source,single_evidence_pos,gca_start,gca_agrees_with,revised_confidence,blast_pident_at_gca,blast_qstart_at_gca,rna_step_ratio_at_gca,orf_valid_at_gca,orf_note,reclassification
MA_RS06225,MA_1197,1428312,BLAST,1428327,1428396,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.413,29,0.68,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS06410,MA_1233,1467116,BLAST,1467215,1467101,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,0.92,False,候補位置のコドンが非正準(ATT),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS06640,MA_1279,1532600,BLAST,1532705,1532642,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),87.987,15,1.0,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS06775,MA_1307,1566811,BLAST,1566973,1566787,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.078,1,5.27,True,妥当,高確信度相当への格上げ(新規BLAST・RNA-seq証拠の両方がGCA提案位置を支持)
MA_RS06800,MA_1313,1574242,BLAST,1574125,1574095,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),92.601,50,1.59,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS06965,MA_1343,1609739,BLAST,1609652,1609676,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),91.566,22,0.96,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS07100,MA_1367,1635794,BLAST,1635785,1635833,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),97.5,1,1.1,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS07150,MA_1378,1645009,BLAST,1645108,1645123,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),93.878,39,0.95,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS07195,MA_1388,1653968,BLAST,1653983,1653893,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),40.206,34,0.99,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS07200,MA_1389,1654362,BLAST,1654353,1654596,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),97.778,1,1.22,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS07495,MA_1442,1712896,BLAST,1712902,1712752,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),97.97,1,0.82,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS07730,MA_1489,1762424,BLAST,1762433,1762490,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.271,23,0.92,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS29335,MA_1502,1771635,BLAST,1771593,1771626,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),97.59,4,1.38,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS24435,MA_1508,1778369,BLAST,1778318,1778297,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.2,False,候補位置のコドンが非正準(CTG),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS08040,MA_1548,1831765,BLAST,1831786,1831735,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),86.45,1,1.01,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS08455,MA_1628,1944036,BLAST,1944006,1944048,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),78.237,1,0.69,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS08475,MA_1632,1953827,BLAST,1953779,1953851,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),40.233,14,1.37,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS09275,MA_1785,2190122,BLAST,2190110,2190191,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.872,1,0.72,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS09390,MA_1806,2221239,BLAST,2221371,2221224,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.0,1,1.66,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS09515,MA_1829,2248670,BLAST,2248622,2248700,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),99.612,1,0.94,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS10095,MA_1938,2394924,BLAST,2394786,2394873,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ),72.152,18,0.94,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS10220,MA_1961,2425154,BLAST,2425190,2425136,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.38,False,候補位置のコドンが非正準(CTG),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS10425,MA_2002,2483259,BLAST,2483253,2483265,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),88.462,134,1.61,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS10440,MA_2005,2486764,BLAST,2486716,2486731,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),97.748,52,0.93,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS24535,MA_2017,2506369,BLAST,2506381,2506285,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),90.516,1,0.96,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS10525,MA_2023,2513521,RNA-seq,2513443,2513437,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,11.96,True,妥当,高確信度相当への格上げ(新規RNA-seq証拠がGCA提案位置を支持)
MA_RS11305,MA_2179,2685164,BLAST,2685032,2685062,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ),47.44,12,1.16,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS11320,MA_2182,2690681,BLAST,2690729,2690696,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ),43.988,12,0.88,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS11430,MA_2205,2714475,RNA-seq,2714517,2714640,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,0.94,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS11795,MA_2273,2796899,BLAST,2796914,2796731,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.696,1,1.07,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS12050,MA_2322,2857577,BLAST,2857580,2857433,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),96.774,1,0.92,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS12075,MA_2327,2864665,BLAST,2864368,2864308,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.66,7,2.55,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS12115,MA_2337,2875248,BLAST,2875239,2875458,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),85.472,1,1.15,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS12530,MA_2414,2990012,BLAST,2989838,2989832,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.03,False,候補位置のコドンが非正準(ATA),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS12570,MA_2422,3000967,BLAST,3000940,3000979,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.08,False,候補位置のコドンが非正準(CTG),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS12920,MA_2485,3082971,BLAST,3082992,3083031,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),24.444,36,0.95,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS12925,MA_2486,3084644,BLAST,3084650,3084647,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),34.195,45,1.41,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS12995,MA_2499,3098651,BLAST,3098696,3098654,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.891,2,2.4,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS13015,MA_2503,3105366,BLAST,3105375,3105405,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.01,False,候補位置のコドンが非正準(ATC),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS13445,MA_2584,3216232,BLAST,3216451,3216559,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),73.333,18,1.09,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS13480,MA_2589,3222234,BLAST,3222279,3222315,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),47.696,272,1.04,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS13560,MA_2604,3237081,BLAST,3237354,3237261,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),41.783,104,0.39,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS13645,MA_2619,3248459,BLAST,3248465,3248417,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),36.364,1,1.66,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS13725,MA_2635,3265921,BLAST,3265867,3265831,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),77.65,2,1.23,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS13730,MA_2636,3267202,BLAST,3267094,3267238,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.152,1,1.6,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS13740,MA_2639,3269154,BLAST,3269067,3269097,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.652,22,0.68,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS13795,MA_2649,3280969,BLAST,3280963,3281065,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.139,1,1.8,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS13955,MA_2677,3321569,BLAST,3321470,3321509,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ),93.375,1,1.34,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS13970,MA_2680,3327734,BLAST,3327791,3327743,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),93.927,4,1.95,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS14255,MA_2724,3396469,BLAST,3396484,3396415,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),83.905,2,1.25,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS27210,MA_2795,3488579,BLAST,3488360,3488054,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),74.51,111,0.76,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS14885,MA_2838,3543351,BLAST,3543267,3543342,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),93.632,4,1.05,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS14895,MA_2840,3545900,BLAST,3545891,3545963,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,0.81,False,候補位置のコドンが非正準(ATT),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS15235,MA_2906,3630418,BLAST,3630427,3630514,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),82.667,37,0.78,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS15695,MA_2993,3730495,BLAST,3730513,3730471,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),37.398,3,1.32,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS15705,MA_2995,3732389,BLAST,3732428,3732407,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),78.261,1,1.23,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS15815,MA_3021,3753783,BLAST,3753750,3753771,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.855,5,1.23,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS15840,MA_3026,3761287,BLAST,3761398,3761335,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),90.286,17,0.58,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS15945,MA_3047,3783508,BLAST,3783397,3783433,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.71,26,1.0,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS15955,MA_3049,3786207,BLAST,3786195,3786153,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.223,18,1.3,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS28915,MA_3274,4040179,BLAST,4040215,4040038,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),68.235,1,1.26,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS17705,MA_3392,4194841,BLAST,4194871,4194880,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),33.621,17,1.12,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS18095,MA_3464,4274088,BLAST,4273923,4274109,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.2,False,候補位置のコドンが非正準(ATA),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS24805,MA_3664,4517282,BLAST,4517315,4517450,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,3.35,False,候補位置のコドンが非正準(ATT),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS19430,MA_3729,4607006,BLAST,4606997,4606913,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.12,False,候補位置のコドンが非正準(ATA),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS20075,MA_3849,4730811,BLAST,4730865,4730772,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.37,False,候補位置のコドンが非正準(ATA),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS20395,MA_3907,4803824,BLAST,4803728,4803716,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.649,1,1.38,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS20525,MA_3932,4830099,BLAST,4830177,4830228,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),98.214,44,0.95,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS20695,MA_3967,4867532,BLAST,4867559,4867538,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.675,3,1.07,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS20820,MA_4674,4896609,BLAST,4896615,4896597,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.261,1,1.61,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS20850,MA_3996,4901508,BLAST,4901574,4901541,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ),96.599,12,1.3,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS21075,MA_4037,4954886,BLAST,4955012,4955123,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),89.2,1,1.08,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS21235,MA_4069,4989001,BLAST,4989289,4989262,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),84.049,78,0.79,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS21610,MA_4143,5059966,BLAST,5059969,5059810,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),42.857,4,0.91,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS21620,MA_4144,5060557,BLAST,5060545,5060572,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),89.32,6,6.15,True,妥当,高確信度相当への格上げ(新規RNA-seq証拠がGCA提案位置を支持)
MA_RS21670,MA_4153,5070005,BLAST,5069975,5069987,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),96.451,7,1.02,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS21830,MA_4184,5108508,BLAST,5108553,5108349,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),91.176,1,1.72,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS22075,MA_4227,5151632,BLAST,5151725,5151641,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.534,4,1.19,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS22400,MA_4292,5242439,BLAST,5242331,5242475,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),85.386,348,1.32,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS22570,MA_4321,5322153,BLAST,5322183,5322210,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.04,False,候補位置のコドンが非正準(CTG),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS22595,MA_4326,5326341,BLAST,5326317,5326269,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),88.859,25,1.28,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS22600,MA_4327,5327491,BLAST,5327467,5327419,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),92.857,25,1.54,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS22640,MA_4335,5340346,BLAST,5340364,5340223,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),91.667,1,1.08,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS22920,MA_4383,5410492,BLAST,5410591,5410549,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ),90.8,1,1.01,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS23435,MA_4491,5537374,BLAST,5537257,5537407,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),87.94,1,1.21,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS23655,MA_4537,5586486,BLAST,5586558,5586252,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),87.943,1,0.88,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS23810,MA_4567,5627422,BLAST,5627437,5627482,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),97.802,1,0.96,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
