locus_tag,old_locus_tag,current_start_pos,single_evidence_source,single_evidence_pos,gca_start,gca_agrees_with,revised_confidence
MA_RS01775,MA_0335,391064,BLAST,391031,391031,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01790,MA_0338,397635,BLAST,397626,397626,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01795,MA_0339,398698,BLAST,398680,398680,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01855,MA_0352,421036,BLAST,421159,421159,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01870,MA_0356,423671,BLAST,423695,423695,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01875,MA_0357,424020,BLAST,424089,424089,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01905,MA_0362,430029,BLAST,430101,430101,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01920,MA_0365,432943,BLAST,432955,432955,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01940,MA_0369,436552,BLAST,436561,436561,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01975,MA_0377,442881,BLAST,442818,442932,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS02005,MA_0382,447990,BLAST,447978,447978,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02010,MA_0383,453072,BLAST,453309,453309,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02025,MA_0385,464422,BLAST,464494,464494,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02030,MA_0386,469318,BLAST,469360,469360,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02075,MA_0394,476549,BLAST,476540,476540,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02105,MA_0400,483000,BLAST,482997,482997,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02125,MA_0404,486521,BLAST,486506,486506,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02135,MA_0406,488865,BLAST,488862,488862,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02235,MA_0426,506196,BLAST,506187,506187,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02345,MA_0448,528495,BLAST,528510,528510,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02350,MA_0449,528705,BLAST,528675,528684,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS02370,MA_0453,532971,BLAST,533082,533082,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02375,MA_0454,533783,BLAST,533768,533768,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02475,MA_0473,554458,BLAST,554425,554425,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02495,MA_0477,557862,BLAST,557835,557853,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS24350,MA_0488,567850,BLAST,567841,567952,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS02610,MA_0502,584723,BLAST,584567,584615,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS02625,MA_0505,586505,BLAST,586472,586472,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02645,MA_0509,591371,BLAST,591359,591359,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02670,MA_0513,597652,BLAST,597667,597667,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02690,MA_0516,601283,BLAST,601280,601280,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02885,MA_0549,638399,BLAST,638354,638354,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02905,MA_0552,645562,BLAST,645382,645382,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02950,MA_0561,664051,BLAST,664015,664015,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS02960,MA_0563,667157,BLAST,667136,667136,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03080,MA_0587,690641,BLAST,690617,690617,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03100,MA_0591,695536,BLAST,695377,695452,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS03125,MA_0595,701308,BLAST,701272,701272,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03130,MA_0596,701699,BLAST,701690,701690,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03165,MA_0602,705010,BLAST,704998,704998,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03185,MA_0606,710692,BLAST,710683,710683,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03210,MA_0611,716760,BLAST,716754,716754,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03295,MA_0626,737081,BLAST,737066,737183,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS03300,MA_0627,738028,BLAST,738022,738022,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03315,MA_0630,741925,BLAST,741874,741874,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03325,MA_0633,744374,BLAST,744362,744362,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03335,MA_0635,746169,BLAST,746160,746160,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03390,MA_0644,757856,BLAST,757865,757865,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03405,MA_0647,759527,BLAST,759539,759539,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03435,MA_0653,767242,BLAST,767206,767419,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS03440,MA_0654,770496,BLAST,770547,770547,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03450,MA_0656,771947,BLAST,771938,771938,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03460,MA_0658,774913,BLAST,774904,774904,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03505,MA_0667,783465,BLAST,783480,783480,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03515,MA_0669,785002,BLAST,784990,784990,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03555,MA_0677,793566,BLAST,793527,793548,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS03565,MA_0679,796395,BLAST,796494,796494,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03580,MA_0682,799951,BLAST,799960,799960,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03595,MA_0685,801921,BLAST,801909,801909,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03620,MA_0691,806927,BLAST,806882,806882,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03650,MA_0697,814775,BLAST,814784,814784,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03690,MA_0705,822155,BLAST,822113,822113,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03695,MA_0706,823576,BLAST,823573,823573,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03820,MA_0729,850568,BLAST,850580,850580,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03845,MA_0734,854297,BLAST,854222,854222,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03850,MA_0735,855461,BLAST,855494,855494,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03870,MA_0739,859521,BLAST,859557,859557,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03885,MA_0743,863532,BLAST,863655,863655,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03900,MA_0746,865857,BLAST,865812,865812,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03925,MA_0751,871621,BLAST,871507,871507,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS03980,MA_0761,887894,BLAST,887882,887882,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04015,MA_0768,898820,BLAST,898814,898814,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04070,MA_0777,910007,BLAST,909998,909998,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04125,MA_0790,921378,BLAST,921330,921330,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04130,MA_0791,922460,BLAST,922313,922313,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04135,MA_0792,924438,BLAST,924468,924474,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS04140,MA_0793,925478,BLAST,925502,925502,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04160,MA_0797,929260,BLAST,929347,929296,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS04190,MA_0804,937708,BLAST,937750,937750,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04230,MA_0811,944560,BLAST,944593,944593,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04240,MA_0813,947916,BLAST,947937,947937,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04245,MA_0814,950003,BLAST,950012,950012,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04290,MA_0823,958709,BLAST,958739,958739,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04370,MA_0838,977515,BLAST,977530,977530,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04385,MA_0841,980748,BLAST,980700,980700,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04405,MA_0845,985457,BLAST,985439,985439,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04415,MA_0847,987383,BLAST,987278,987278,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04450,MA_0854,1009640,BLAST,1009601,1009601,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04470,MA_0858,1018281,BLAST,1018299,1018299,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04475,MA_0859,1020910,BLAST,1020928,1020928,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04530,MA_0870,1034123,BLAST,1034147,1034147,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04605,MA_0884,1058343,BLAST,1058322,1058322,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04695,MA_0904,1082313,BLAST,1082322,1082322,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04700,MA_0905,1082474,BLAST,1082411,1082411,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04720,MA_0910,1088846,BLAST,1088837,1088837,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04730,MA_0912,1090906,BLAST,1091029,1091029,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04740,MA_0914,1092417,BLAST,1092387,1092387,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04755,MA_0917,1096558,BLAST,1096546,1096546,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04770,MA_0920,1100861,BLAST,1100897,1100897,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04795,MA_0925,1104205,BLAST,1104181,1104181,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04855,MA_0935,1114790,BLAST,1114805,1114805,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04880,MA_0940,1118620,BLAST,1118629,1118629,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04905,MA_0944,1124670,BLAST,1124727,1124727,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04925,MA_0947,1126372,BLAST,1126354,1126354,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS04955,MA_0953,1133958,BLAST,1133988,1134066,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS24380,MA_0960,1146589,BLAST,1146694,1146694,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05015,MA_0964,1151312,BLAST,1151300,1151300,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05045,MA_0969,1155621,BLAST,1155618,1155555,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS24390,MA_0970,1157351,BLAST,1157294,1157294,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05060,MA_0972,1160915,BLAST,1160900,1160900,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05125,MA_0982,1173882,BLAST,1173873,1173873,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05160,MA_0988,1181283,BLAST,1181337,1181337,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05195,MA_0995,1187129,BLAST,1187126,1187126,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS28435,MA_0998,1189519,BLAST,1189345,1189417,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS24395,MA_1000,1191973,BLAST,1191940,1191940,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05225,MA_1001,1194679,BLAST,1194691,1194691,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05295,MA_1013,1209825,BLAST,1209876,1209762,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS05345,MA_1022,1223996,BLAST,1223981,1223981,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05375,MA_1030,1231307,BLAST,1231274,1231274,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05520,MA_1059,1267617,BLAST,1267626,1267626,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05570,MA_1068,1280232,BLAST,1280238,1280238,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05575,MA_1069,1281584,BLAST,1281365,1281329,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS05650,MA_1083,1291853,BLAST,1291844,1291844,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05680,MA_1089,1294539,BLAST,1294530,1294530,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05770,MA_1107,1310037,BLAST,1309983,1309983,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05850,MA_1122,1327623,BLAST,1327641,1327641,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24400,MA_1126,1331057,BLAST,1330931,1330931,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
