locus_tag,old_locus_tag,gcf_start,gca_start,diff_bp,diff_codons,frame_shift_flag
MA_RS00320,MA_0062,71483,71483,0,0.0,False
MA_RS00325,MA_0063,72781,72823,42,14.0,False
MA_RS00330,MA_0064,73571,73571,0,0.0,False
MA_RS00335,MA_0065,74723,74723,0,0.0,False
MA_RS00345,MA_0067,75144,75144,0,0.0,False
MA_RS00350,MA_0068,79369,79369,0,0.0,False
MA_RS00355,MA_0069,80597,80603,6,2.0,False
MA_RS00365,MA_0071,81987,81987,0,0.0,False
MA_RS00370,MA_0072,84404,84404,0,0.0,False
MA_RS00380,MA_0074,85487,85394,93,31.0,False
MA_RS00385,MA_0075,87507,87507,0,0.0,False
MA_RS00390,MA_0076,88183,88156,27,9.0,False
MA_RS00400,MA_0077,89654,89765,-111,-37.0,False
MA_RS00405,MA_0078,90829,90829,0,0.0,False
MA_RS00415,MA_0080,94605,94605,0,0.0,False
MA_RS00420,MA_0081,97563,97659,-96,-32.0,False
MA_RS00425,MA_0083,100217,100217,0,0.0,False
MA_RS00430,MA_0084,104516,104570,54,18.0,False
MA_RS00435,MA_0085,105273,105273,0,0.0,False
MA_RS00440,MA_0086,108391,108391,0,0.0,False
MA_RS00445,MA_0087,109126,109117,9,3.0,False
MA_RS00450,MA_0088,110763,110727,36,12.0,False
MA_RS00455,MA_0089,112200,112209,9,3.0,False
MA_RS00460,MA_0090,113850,113850,0,0.0,False
MA_RS00465,MA_0091,114846,114846,0,0.0,False
MA_RS00470,MA_0092,115917,115938,21,7.0,False
MA_RS00475,MA_0093,116164,116131,33,11.0,False
MA_RS00490,MA_0095,119704,119704,0,0.0,False
MA_RS00495,MA_0096,122275,122275,0,0.0,False
MA_RS00500,MA_0097,124302,124302,0,0.0,False
MA_RS00505,MA_0098,124580,124580,0,0.0,False
MA_RS00515,MA_0099,125996,125996,0,0.0,False
MA_RS00525,MA_0100,126603,126603,0,0.0,False
MA_RS00530,MA_0101,126920,126920,0,0.0,False
MA_RS00535,MA_0102,127336,127318,18,6.0,False
MA_RS00545,MA_0103,129463,129547,84,28.0,False
MA_RS00550,MA_0104,129857,129857,0,0.0,False
MA_RS00555,MA_0105,132203,132203,0,0.0,False
MA_RS00560,MA_0106,132513,132456,57,19.0,False
MA_RS00565,MA_0107,134850,134850,0,0.0,False
MA_RS00570,MA_0108,135133,135106,27,9.0,False
MA_RS00575,MA_0109,136748,136748,0,0.0,False
MA_RS00580,MA_0110,137493,137493,0,0.0,False
MA_RS00585,MA_0112,138120,138120,0,0.0,False
MA_RS00590,MA_0113,138514,138514,0,0.0,False
MA_RS00595,MA_0114,139482,139518,-36,-12.0,False
MA_RS00600,MA_0115,140357,140357,0,0.0,False
MA_RS00605,MA_0116,140985,140985,0,0.0,False
MA_RS00610,MA_0117,142032,142032,0,0.0,False
MA_RS00615,MA_0118,143543,143546,3,1.0,False
MA_RS00620,MA_0119,144711,144741,30,10.0,False
MA_RS00630,MA_0120,146253,146379,126,42.0,False
MA_RS00635,MA_0121,147269,147269,0,0.0,False
MA_RS00640,MA_0122,147571,147568,3,1.0,False
MA_RS00645,MA_0123,148799,148799,0,0.0,False
MA_RS00650,MA_0124,150169,150106,63,21.0,False
MA_RS00655,MA_0125,151346,151394,-48,-16.0,False
MA_RS00665,MA_0126,152664,152664,0,0.0,False
MA_RS00670,MA_0127,154401,154401,0,0.0,False
MA_RS00675,MA_0128,154898,154898,0,0.0,False
MA_RS00680,MA_0129,155353,155353,0,0.0,False
MA_RS00685,MA_0130,156974,157013,39,13.0,False
MA_RS00690,MA_0131,158415,158415,0,0.0,False
MA_RS00695,MA_0132,158892,158892,0,0.0,False
MA_RS00700,MA_0133,160448,160448,0,0.0,False
MA_RS00705,MA_0134,161625,161625,0,0.0,False
MA_RS00710,MA_0135,162129,162129,0,0.0,False
MA_RS00715,MA_0136,163458,163458,0,0.0,False
MA_RS00720,MA_0137,164277,164277,0,0.0,False
MA_RS00725,MA_0138,164671,164671,0,0.0,False
MA_RS00730,MA_0139,165573,165573,0,0.0,False
MA_RS00735,MA_0140,167353,167344,9,3.0,False
MA_RS00740,MA_0141,169217,169217,0,0.0,False
MA_RS00750,MA_0143,170893,170893,0,0.0,False
MA_RS00765,MA_0145,173245,173245,0,0.0,False
MA_RS00775,MA_0146,175251,175251,0,0.0,False
MA_RS00780,MA_0147,175643,175643,0,0.0,False
MA_RS00785,MA_0148,176345,176345,0,0.0,False
MA_RS00790,MA_0149,177173,177173,0,0.0,False
MA_RS00795,MA_0150,178886,178886,0,0.0,False
MA_RS00805,MA_0151,182416,182416,0,0.0,False
MA_RS00810,MA_0152,183842,183842,0,0.0,False
MA_RS00815,MA_0153,185009,185009,0,0.0,False
MA_RS00820,MA_0154,186063,186063,0,0.0,False
MA_RS00825,MA_0155,187631,187514,-117,-39.0,False
MA_RS00835,MA_0156,188921,188921,0,0.0,False
MA_RS00840,MA_0157,189056,189056,0,0.0,False
MA_RS00845,MA_0158,189736,189727,9,3.0,False
MA_RS00850,MA_0159,190535,190535,0,0.0,False
MA_RS00855,MA_0160,190783,190783,0,0.0,False
MA_RS00860,MA_0161,192494,192494,0,0.0,False
MA_RS00865,MA_0162,193001,193001,0,0.0,False
MA_RS00870,MA_0163,193154,193196,-42,-14.0,False
MA_RS00880,MA_0164,195154,195166,12,4.0,False
MA_RS00885,MA_0165,196425,196425,0,0.0,False
MA_RS00900,MA_0166,198400,198226,174,58.0,False
MA_RS00905,MA_0167,200788,200788,0,0.0,False
MA_RS00910,MA_0168,201678,201729,51,17.0,False
MA_RS00915,MA_0169,203218,203218,0,0.0,False
MA_RS00920,MA_0170,203500,203500,0,0.0,False
MA_RS00930,MA_0171,206095,206095,0,0.0,False
MA_RS00935,MA_0172,207555,207555,0,0.0,False
MA_RS00940,MA_0173,207902,207902,0,0.0,False
MA_RS00945,MA_0174,208412,208412,0,0.0,False
MA_RS00950,MA_0175,209960,209960,0,0.0,False
MA_RS00955,MA_0176,211183,211216,33,11.0,False
MA_RS00960,MA_0177,211761,211770,9,3.0,False
MA_RS00965,MA_0178,212391,212475,84,28.0,False
MA_RS00970,MA_0179,213361,213361,0,0.0,False
MA_RS00975,MA_0180,213728,213728,0,0.0,False
MA_RS00980,MA_0181,214216,214216,0,0.0,False
MA_RS00985,MA_0182,216456,216456,0,0.0,False
MA_RS00990,MA_0183,217016,217016,0,0.0,False
MA_RS00995,MA_0184,218444,218444,0,0.0,False
MA_RS01000,MA_0185,220432,220432,0,0.0,False
MA_RS01005,MA_0186,220724,220724,0,0.0,False
MA_RS01010,MA_0187,221645,221636,9,3.0,False
MA_RS01020,MA_0189,225245,225245,0,0.0,False
MA_RS01025,MA_0190,228483,228474,9,3.0,False
MA_RS01030,MA_0191,230487,230487,0,0.0,False
MA_RS01035,MA_0192,230904,230904,0,0.0,False
MA_RS01040,MA_0193,231647,231647,0,0.0,False
MA_RS01045,MA_0194,231952,231952,0,0.0,False
MA_RS01050,MA_0195,236253,236421,168,56.0,False
MA_RS01060,MA_0197,237397,237397,0,0.0,False
MA_RS01065,MA_0198,238117,238117,0,0.0,False
MA_RS01070,MA_0199,239620,239620,0,0.0,False
MA_RS01075,MA_0200,240720,240720,0,0.0,False
MA_RS01080,MA_0201,242029,242029,0,0.0,False
MA_RS01085,MA_0202,242613,242613,0,0.0,False
MA_RS01090,MA_0203,243156,243126,30,10.0,False
MA_RS01095,MA_0204,248497,248497,0,0.0,False
MA_RS01100,MA_0205,249118,249106,12,4.0,False
MA_RS01105,MA_0206,251315,251351,36,12.0,False
MA_RS01110,MA_0207,251515,251515,0,0.0,False
MA_RS01115,MA_0208,252510,252510,0,0.0,False
MA_RS01120,MA_0209,254801,254801,0,0.0,False
MA_RS01125,MA_0210,255385,255406,21,7.0,False
MA_RS01130,MA_0211,256229,256109,-120,-40.0,False
MA_RS01135,MA_0212,257170,257170,0,0.0,False
MA_RS01140,MA_0213,258555,258555,0,0.0,False
MA_RS01145,MA_0214,259343,259343,0,0.0,False
MA_RS01160,MA_0215,260214,260214,0,0.0,False
MA_RS01165,MA_0216,262409,262409,0,0.0,False
MA_RS01170,MA_0217,262974,262974,0,0.0,False
MA_RS01175,MA_0218,263960,263960,0,0.0,False
MA_RS01180,MA_0219,264755,264755,0,0.0,False
MA_RS01185,MA_0220,266245,266245,0,0.0,False
MA_RS01195,MA_0222,269016,269097,81,27.0,False
MA_RS01200,MA_0223,270074,270086,12,4.0,False
MA_RS01205,MA_0224,270372,270372,0,0.0,False
MA_RS01215,MA_0226,273158,273161,3,1.0,False
MA_RS01220,MA_0227,273911,273887,-24,-8.0,False
MA_RS01225,MA_0228,274729,274654,-75,-25.0,False
MA_RS01230,MA_0229,276009,276009,0,0.0,False
MA_RS01240,MA_0231,277403,277403,0,0.0,False
MA_RS01245,MA_0232,278014,278014,0,0.0,False
MA_RS01250,MA_0233,280012,280012,0,0.0,False
MA_RS01255,MA_0234,281699,281699,0,0.0,False
MA_RS01260,MA_0235,282728,282728,0,0.0,False
MA_RS01265,MA_0236,284033,284033,0,0.0,False
MA_RS01275,MA_0238,285247,285247,0,0.0,False
MA_RS01280,MA_0239,285776,285776,0,0.0,False
MA_RS01285,MA_0240,286701,286701,0,0.0,False
MA_RS01290,MA_0241,287013,287013,0,0.0,False
MA_RS01295,MA_0242,290446,290446,0,0.0,False
MA_RS01300,MA_0243,291626,291626,0,0.0,False
MA_RS01305,MA_0244,292170,292170,0,0.0,False
MA_RS01310,MA_0245,293362,293362,0,0.0,False
MA_RS01315,MA_0246,294857,294857,0,0.0,False
MA_RS01320,MA_0247,295222,295222,0,0.0,False
MA_RS01325,MA_0248,297112,297112,0,0.0,False
MA_RS01330,MA_0249,299268,299268,0,0.0,False
MA_RS01335,MA_0250,302484,302505,21,7.0,False
MA_RS01340,MA_0251,304429,304438,9,3.0,False
MA_RS01345,MA_0252,304839,304839,0,0.0,False
MA_RS01350,MA_0253,307301,307205,-96,-32.0,False
MA_RS01355,MA_0254,308860,308845,-15,-5.0,False
MA_RS01360,MA_0255,309318,309318,0,0.0,False
MA_RS01365,MA_0256,310333,310333,0,0.0,False
MA_RS01370,MA_0257,311987,311987,0,0.0,False
MA_RS01375,MA_0258,312034,312034,0,0.0,False
MA_RS01380,MA_0259,314696,314696,0,0.0,False
MA_RS01385,MA_0260,315578,315515,63,21.0,False
MA_RS01390,MA_0261,316983,316962,21,7.0,False
MA_RS01395,MA_0262,319666,319696,30,10.0,False
MA_RS01405,MA_0263,320466,320466,0,0.0,False
MA_RS01410,MA_0264,321289,321289,0,0.0,False
MA_RS01415,MA_0265,322186,322186,0,0.0,False
MA_RS01420,MA_0266,322988,322988,0,0.0,False
MA_RS01425,MA_0267,325715,325715,0,0.0,False
MA_RS01430,MA_0269,328029,328029,0,0.0,False
MA_RS01435,MA_0270,328263,328263,0,0.0,False
MA_RS01440,MA_0271,328505,328505,0,0.0,False
MA_RS01445,MA_0272,329227,329227,0,0.0,False
MA_RS01450,MA_0273,329555,329555,0,0.0,False
MA_RS01455,MA_0274,330355,330355,0,0.0,False
MA_RS01460,MA_0275,331107,331107,0,0.0,False
MA_RS01465,MA_0276,332018,332018,0,0.0,False
MA_RS01475,MA_0277,332799,332799,0,0.0,False
MA_RS01480,MA_0278,333941,333941,0,0.0,False
MA_RS01485,MA_0279,336637,336637,0,0.0,False
MA_RS01490,MA_0280,337091,337091,0,0.0,False
MA_RS01495,MA_0281,338264,338264,0,0.0,False
MA_RS01500,MA_0282,339069,339069,0,0.0,False
MA_RS01505,MA_0283,340130,340130,0,0.0,False
MA_RS01510,MA_0284,341950,341980,30,10.0,False
MA_RS01515,MA_0285,343088,343088,0,0.0,False
MA_RS01520,MA_0286,345346,345436,90,30.0,False
MA_RS01525,MA_0287,345679,345679,0,0.0,False
MA_RS01530,MA_0288,346711,346711,0,0.0,False
MA_RS01535,MA_0289,348379,348361,18,6.0,False
MA_RS01540,MA_0290,349120,349120,0,0.0,False
MA_RS01545,MA_0291,349764,349764,0,0.0,False
MA_RS01550,MA_0292,350108,350114,6,2.0,False
MA_RS01555,MA_0293,350298,350298,0,0.0,False
MA_RS01560,MA_0294,350802,350796,6,2.0,False
MA_RS01565,MA_0295,351805,351772,33,11.0,False
MA_RS01570,MA_0296,353792,353792,0,0.0,False
MA_RS01575,MA_0297,355260,355260,0,0.0,False
MA_RS01580,MA_0298,355964,355964,0,0.0,False
MA_RS01585,MA_0299,356881,356881,0,0.0,False
MA_RS01590,MA_0300,357780,357780,0,0.0,False
MA_RS01595,MA_0301,358726,358726,0,0.0,False
MA_RS01600,MA_0302,360492,360492,0,0.0,False
MA_RS01605,MA_0303,361289,361292,3,1.0,False
MA_RS01620,MA_0304,362830,362797,33,11.0,False
MA_RS01625,MA_0305,363418,363418,0,0.0,False
MA_RS01630,MA_0306,364459,364459,0,0.0,False
MA_RS01635,MA_0307,366218,366218,0,0.0,False
MA_RS01640,MA_0308,367095,367095,0,0.0,False
MA_RS01645,MA_0309,367487,367487,0,0.0,False
MA_RS01650,MA_0310,369250,369238,12,4.0,False
MA_RS01655,MA_0311,370777,370756,21,7.0,False
MA_RS01665,MA_0313,373571,373571,0,0.0,False
MA_RS01670,MA_0314,374464,374584,120,40.0,False
MA_RS01675,MA_0315,375115,375115,0,0.0,False
MA_RS01680,MA_0316,376216,376216,0,0.0,False
MA_RS01700,MA_0320,378649,378649,0,0.0,False
MA_RS01705,MA_0321,380020,380020,0,0.0,False
MA_RS01710,MA_0322,380837,380852,15,5.0,False
MA_RS01715,MA_0323,382022,382022,0,0.0,False
MA_RS01720,MA_0324,382879,382879,0,0.0,False
MA_RS01725,MA_0325,383682,383682,0,0.0,False
MA_RS01730,MA_0326,384498,384498,0,0.0,False
MA_RS01735,MA_0327,385146,385146,0,0.0,False
MA_RS01740,MA_0328,385754,385754,0,0.0,False
MA_RS01745,MA_0329,386206,386200,-6,-2.0,False
MA_RS01750,MA_0330,386826,386841,15,5.0,False
MA_RS01755,MA_0331,387662,387662,0,0.0,False
MA_RS01760,MA_0332,388475,388475,0,0.0,False
MA_RS01765,MA_0333,388736,388736,0,0.0,False
MA_RS01770,MA_0334,390565,390565,0,0.0,False
MA_RS01775,MA_0335,391064,391031,33,11.0,False
MA_RS01780,MA_0336,396260,396260,0,0.0,False
MA_RS01785,MA_0337,397092,397092,0,0.0,False
MA_RS01790,MA_0338,397635,397626,9,3.0,False
MA_RS01795,MA_0339,398698,398680,18,6.0,False
MA_RS01800,MA_0340,399660,399660,0,0.0,False
MA_RS01805,MA_0341,400671,400671,0,0.0,False
MA_RS01810,MA_0342,401951,401951,0,0.0,False
MA_RS01815,MA_0343,402530,402530,0,0.0,False
MA_RS01820,MA_0344,403216,403216,0,0.0,False
MA_RS01825,MA_0345,403871,403871,0,0.0,False
MA_RS01830,MA_0346,404536,404536,0,0.0,False
MA_RS01840,MA_0348,410767,410767,0,0.0,False
MA_RS01850,MA_0351,419550,419610,60,20.0,False
MA_RS01855,MA_0352,421036,421159,123,41.0,False
MA_RS01870,MA_0356,423671,423695,24,8.0,False
MA_RS01875,MA_0357,424020,424089,69,23.0,False
MA_RS01885,MA_0359,425420,425420,0,0.0,False
MA_RS01895,MA_0360,427939,427930,-9,-3.0,False
MA_RS01900,MA_0361,428664,428664,0,0.0,False
MA_RS01905,MA_0362,430029,430101,72,24.0,False
MA_RS01910,MA_0363,430861,430861,0,0.0,False
MA_RS01915,MA_0364,431496,431496,0,0.0,False
MA_RS01920,MA_0365,432943,432955,12,4.0,False
MA_RS01925,MA_0366,433868,433868,0,0.0,False
MA_RS01930,MA_0367,434928,434928,0,0.0,False
MA_RS01935,MA_0368,435737,435737,0,0.0,False
MA_RS01940,MA_0369,436552,436561,9,3.0,False
MA_RS01945,MA_0370,438486,438486,0,0.0,False
MA_RS01950,MA_0372,438790,438790,0,0.0,False
MA_RS01955,MA_0373,439678,439678,0,0.0,False
MA_RS01960,MA_0374,440932,440932,0,0.0,False
MA_RS01965,MA_0375,442147,442147,0,0.0,False
MA_RS01970,MA_0376,442416,442416,0,0.0,False
MA_RS01975,MA_0377,442881,442932,-51,-17.0,False
MA_RS01980,MA_0378,444149,444149,0,0.0,False
MA_RS01985,MA_0379,445136,445136,0,0.0,False
MA_RS01990,MA_0380,446003,446003,0,0.0,False
MA_RS02000,MA_0381,447488,447362,126,42.0,False
MA_RS02005,MA_0382,447990,447978,12,4.0,False
MA_RS02010,MA_0383,453072,453309,237,79.0,False
MA_RS02015,MA_0384,457996,457996,0,0.0,False
MA_RS02025,MA_0385,464422,464494,72,24.0,False
MA_RS02030,MA_0386,469318,469360,42,14.0,False
MA_RS02035,MA_0387,470503,470503,0,0.0,False
MA_RS02040,MA_0388,472120,472120,0,0.0,False
MA_RS02045,MA_0389,472290,472290,0,0.0,False
MA_RS02070,MA_0393,475733,475733,0,0.0,False
MA_RS02075,MA_0394,476549,476540,9,3.0,False
MA_RS02090,MA_0398,481091,481091,0,0.0,False
MA_RS02100,MA_0399,482086,481978,108,36.0,False
MA_RS02105,MA_0400,483000,482997,3,1.0,False
MA_RS02110,MA_0401,484225,484225,0,0.0,False
MA_RS02115,MA_0402,484776,484776,0,0.0,False
MA_RS02120,MA_0403,485208,485208,0,0.0,False
MA_RS02125,MA_0404,486521,486506,15,5.0,False
MA_RS02135,MA_0406,488865,488862,3,1.0,False
MA_RS02140,MA_0407,489540,489540,0,0.0,False
MA_RS02150,MA_0409,491290,491290,0,0.0,False
MA_RS02155,MA_0410,492073,492073,0,0.0,False
MA_RS02165,MA_0413,493911,493911,0,0.0,False
MA_RS02170,MA_0414,495432,495432,0,0.0,False
MA_RS02175,MA_0415,496128,496128,0,0.0,False
MA_RS02180,MA_0416,497069,497069,0,0.0,False
MA_RS02185,MA_0417,497558,497558,0,0.0,False
MA_RS02190,MA_0418,499078,499078,0,0.0,False
MA_RS02195,MA_0419,499831,499831,0,0.0,False
MA_RS02205,MA_0421,501351,501351,0,0.0,False
MA_RS02210,MA_0422,502401,502401,0,0.0,False
MA_RS02220,MA_0424,504673,504683,-10,-3.3333333333333335,True
MA_RS02230,MA_0425,505885,505966,81,27.0,False
MA_RS02235,MA_0426,506196,506187,9,3.0,False
MA_RS02240,MA_0427,506764,506764,0,0.0,False
MA_RS02245,MA_0428,508310,508310,0,0.0,False
MA_RS02250,MA_0429,509181,509181,0,0.0,False
MA_RS02255,MA_0430,511654,511654,0,0.0,False
MA_RS02260,MA_0431,511936,511936,0,0.0,False
MA_RS02265,MA_0432,512491,512491,0,0.0,False
MA_RS02270,MA_0433,513692,513692,0,0.0,False
MA_RS02275,MA_0434,514231,514231,0,0.0,False
MA_RS02285,MA_0436,516253,516193,60,20.0,False
MA_RS02290,MA_0437,517343,517343,0,0.0,False
MA_RS02300,MA_0439,520196,520196,0,0.0,False
MA_RS02305,MA_0440,520823,520823,0,0.0,False
MA_RS02310,MA_0441,521099,521090,9,3.0,False
MA_RS02320,MA_0443,523963,523963,0,0.0,False
MA_RS02325,MA_0444,524887,524887,0,0.0,False
MA_RS02330,MA_0445,525616,525616,0,0.0,False
MA_RS02340,MA_0447,526764,526764,0,0.0,False
MA_RS02345,MA_0448,528495,528510,15,5.0,False
MA_RS02350,MA_0449,528705,528684,21,7.0,False
MA_RS02360,MA_0451,529870,529870,0,0.0,False
MA_RS02365,MA_0452,531747,531747,0,0.0,False
MA_RS02370,MA_0453,532971,533082,111,37.0,False
MA_RS02375,MA_0454,533783,533768,15,5.0,False
MA_RS02380,MA_0455,536229,536229,0,0.0,False
MA_RS02385,MA_0456,537016,537016,0,0.0,False
MA_RS02395,MA_0458,537533,537539,6,2.0,False
MA_RS02400,MA_0459,537926,537926,0,0.0,False
MA_RS02405,MA_0460,539017,539029,-12,-4.0,False
MA_RS02410,MA_0461,541817,541817,0,0.0,False
MA_RS02415,MA_0462,541988,541988,0,0.0,False
MA_RS02420,MA_0463,542799,542799,0,0.0,False
MA_RS02425,MA_0464,544933,544933,0,0.0,False
MA_RS02430,MA_0465,546491,546491,0,0.0,False
MA_RS02445,MA_0468,549450,549450,0,0.0,False
MA_RS02455,MA_0469,550418,550418,0,0.0,False
MA_RS02465,MA_0471,552436,552436,0,0.0,False
MA_RS02470,MA_0472,554347,554347,0,0.0,False
MA_RS02475,MA_0473,554458,554425,33,11.0,False
MA_RS02480,MA_0474,554618,554684,-66,-22.0,False
MA_RS02485,MA_0475,555563,555563,0,0.0,False
MA_RS02490,MA_0476,556226,556226,0,0.0,False
MA_RS02495,MA_0477,557862,557853,9,3.0,False
MA_RS02500,MA_0479,560424,560424,0,0.0,False
MA_RS02505,MA_0480,561176,561200,24,8.0,False
MA_RS02510,MA_0481,561753,561753,0,0.0,False
MA_RS02525,MA_0484,564046,564046,0,0.0,False
MA_RS02535,MA_0486,565790,565790,0,0.0,False
MA_RS02540,MA_0487,566070,566070,0,0.0,False
MA_RS02555,MA_0490,571167,571167,0,0.0,False
MA_RS02560,MA_0491,576203,576203,0,0.0,False
MA_RS02565,MA_0492,577233,577233,0,0.0,False
MA_RS02570,MA_0493,577531,577531,0,0.0,False
MA_RS02575,MA_0494,578794,578794,0,0.0,False
MA_RS02585,MA_0496,579515,579515,0,0.0,False
MA_RS02590,MA_0497,582219,582003,-216,-72.0,False
MA_RS02595,MA_0499,582774,582771,3,1.0,False
MA_RS02610,MA_0502,584723,584615,108,36.0,False
MA_RS02620,MA_0504,586307,586307,0,0.0,False
MA_RS02625,MA_0505,586505,586472,33,11.0,False
MA_RS02630,MA_0506,587255,587255,0,0.0,False
MA_RS02635,MA_0507,588926,588926,0,0.0,False
MA_RS02640,MA_0508,590259,590259,0,0.0,False
MA_RS02645,MA_0509,591371,591359,12,4.0,False
MA_RS02650,MA_0510,593230,593230,0,0.0,False
MA_RS02660,MA_0511,594609,594609,0,0.0,False
MA_RS02665,MA_0512,595359,595359,0,0.0,False
MA_RS02670,MA_0513,597652,597667,15,5.0,False
MA_RS02685,MA_0515,600484,600484,0,0.0,False
MA_RS02690,MA_0516,601283,601280,3,1.0,False
MA_RS02695,MA_0517,601897,601897,0,0.0,False
MA_RS02700,MA_0518,602172,602172,0,0.0,False
MA_RS02710,MA_0519,603202,603202,0,0.0,False
MA_RS02715,MA_0520,604648,604648,0,0.0,False
MA_RS02720,MA_0521,605800,605800,0,0.0,False
MA_RS02725,MA_0522,608416,608416,0,0.0,False
MA_RS02730,MA_0523,611318,611318,0,0.0,False
MA_RS02745,MA_0525,613311,613311,0,0.0,False
MA_RS02750,MA_0526,613653,613653,0,0.0,False
MA_RS02760,MA_0527,615729,615729,0,0.0,False
MA_RS02775,MA_0529,617913,617913,0,0.0,False
MA_RS02780,MA_0530,619035,619035,0,0.0,False
MA_RS02785,MA_0531,620098,620089,9,3.0,False
MA_RS02800,MA_0533,622779,622779,0,0.0,False
MA_RS02805,MA_0534,624104,624116,-12,-4.0,False
MA_RS02810,MA_0535,625757,625757,0,0.0,False
MA_RS02815,MA_0536,626991,626991,0,0.0,False
MA_RS02820,MA_0537,627634,627634,0,0.0,False
MA_RS02825,MA_0538,630268,630268,0,0.0,False
MA_RS02830,MA_0539,630926,630926,0,0.0,False
MA_RS02835,MA_0540,631561,631561,0,0.0,False
MA_RS02840,MA_0541,632430,632430,0,0.0,False
MA_RS02845,MA_0542,633491,633491,0,0.0,False
MA_RS02850,MA_0543,634320,634320,0,0.0,False
MA_RS02855,MA_0544,635216,635216,0,0.0,False
MA_RS02860,MA_0545,635793,635793,0,0.0,False
MA_RS02870,MA_0546,636565,636565,0,0.0,False
MA_RS02875,MA_0547,636723,636723,0,0.0,False
MA_RS02880,MA_0548,637433,637433,0,0.0,False
MA_RS02885,MA_0549,638399,638354,45,15.0,False
MA_RS02890,MA_0550,639295,639295,0,0.0,False
MA_RS02905,MA_0552,645562,645382,180,60.0,False
MA_RS02915,MA_0554,649933,649933,0,0.0,False
MA_RS02920,MA_0555,651520,651520,0,0.0,False
MA_RS02925,MA_0556,652958,652958,0,0.0,False
MA_RS02930,MA_0557,655226,655538,-312,-104.0,False
MA_RS02935,MA_0558,657701,657701,0,0.0,False
MA_RS02940,MA_0559,660130,660130,0,0.0,False
MA_RS02945,MA_0560,661627,661579,48,16.0,False
MA_RS02950,MA_0561,664051,664015,36,12.0,False
MA_RS02955,MA_0562,666579,666579,0,0.0,False
MA_RS02960,MA_0563,667157,667136,21,7.0,False
MA_RS02965,MA_0564,668702,668702,0,0.0,False
MA_RS02970,MA_0565,670086,670086,0,0.0,False
