locus_tag,old_locus_tag,old_locus_tag_all,gene_name,gene_biotype,seqid,start,end,strand
MA_RS00230,MA0045,"MA0045,MA_0045",MA_RS00230,protein_coding,NC_003552.1,56958,57329,+
MA_RS00235,MA0046,"MA0046,MA_0046",MA_RS00235,protein_coding,NC_003552.1,57569,58264,+
MA_RS00240,MA0047,"MA0047,MA_0047",MA_RS00240,protein_coding,NC_003552.1,58313,59023,+
MA_RS00245,MA0048,"MA0048,MA_0048",MA_RS00245,protein_coding,NC_003552.1,59191,59415,+
MA_RS00250,MA0049,"MA0049,MA_0049",MA_RS00250,protein_coding,NC_003552.1,59484,59735,+
MA_RS00255,MA0050,"MA0050,MA_0050",MA_RS00255,protein_coding,NC_003552.1,59888,61279,+
MA_RS00260,MA0051,"MA0051,MA_0051",MA_RS00260,protein_coding,NC_003552.1,61555,63327,-
MA_RS00270,MA0053,"MA0053,MA_0053",MA_RS00270,protein_coding,NC_003552.1,64281,65324,+
MA_RS00275,MA0054,"MA0054,MA_0054",MA_RS00275,protein_coding,NC_003552.1,65547,66581,+
MA_RS00280,MA0055,"MA0055,MA_0055",MA_RS00280,protein_coding,NC_003552.1,67212,67382,-
MA_RS00285,MAt4684,MAt4684,MA_RS00285,tRNA,NC_003552.1,67779,67852,-
MA_RS00290,MA0056,"MA0056,MA_0056",MA_RS00290,protein_coding,NC_003552.1,68403,68609,+
MA_RS00295,MA0057,"MA0057,MA_0057",MA_RS00295,protein_coding,NC_003552.1,68676,68882,+
MA_RS00300,MA0058,"MA0058,MA_0058",MA_RS00300,protein_coding,NC_003552.1,68950,69156,+
MA_RS00305,MA0059,"MA0059,MA_0059",MA_RS00305,protein_coding,NC_003552.1,69214,69420,+
MA_RS26360,,,MA_RS26360,protein_coding,NC_003552.1,69507,69650,-
MA_RS00310,MA0060,"MA0060,MA_0060",MA_RS00310,protein_coding,NC_003552.1,69654,70403,-
MA_RS00315,MA0061,"MA0061,MA_0061",MA_RS00315,protein_coding,NC_003552.1,70391,71146,-
MA_RS00320,MA0062,"MA0062,MA_0062",MA_RS00320,protein_coding,NC_003552.1,71483,71908,+
MA_RS00325,MA0063,"MA0063,MA_0063",MA_RS00325,protein_coding,NC_003552.1,72017,72781,-
MA_RS00330,MA0064,"MA0064,MA_0064",MA_RS00330,protein_coding,NC_003552.1,72783,73571,-
MA_RS00335,MA0065,"MA0065,MA_0065",MA_RS00335,protein_coding,NC_003552.1,73710,74723,-
MA_RS00345,MA0067,"MA0067,MA_0067",MA_RS00345,protein_coding,NC_003552.1,75144,75665,+
MA_RS00350,MA0068,"MA0068,MA_0068",MA_RS00350,protein_coding,NC_003552.1,75866,79369,-
MA_RS00355,MA0069,"MA0069,MA_0069",thiL,protein_coding,NC_003552.1,79587,80597,-
MA_RS00365,MA0071,"MA0071,MA_0071",MA_RS00365,protein_coding,NC_003552.1,81193,81987,-
MA_RS00370,MA0072,"MA0072,MA_0072",nrdD,protein_coding,NC_003552.1,82020,84404,-
MA_RS00375,,,MA_RS00375,protein_coding,NC_003552.1,84492,84743,-
MA_RS00380,MA0074,"MA0074,MA_0074",radB,protein_coding,NC_003552.1,85487,86197,+
MA_RS00385,MA0075,"MA0075,MA_0075",MA_RS00385,protein_coding,NC_003552.1,86407,87507,-
MA_RS00390,MA0076,"MA0076,MA_0076",MA_RS00390,protein_coding,NC_003552.1,88183,89202,+
MA_RS00395,,,MA_RS00395,protein_coding,NC_003552.1,89462,89629,+
MA_RS00400,MA0077,"MA0077,MA_0077",MA_RS00400,protein_coding,NC_003552.1,89654,90631,+
MA_RS00405,MA0078,"MA0078,MA_0078",MA_RS00405,protein_coding,NC_003552.1,90829,92013,+
MA_RS24315,MA_0079,MA_0079,MA_RS24315,protein_coding,NC_003552.1,92000,94453,+
MA_RS00415,MA0080,"MA0080,MA_0080",MA_RS00415,protein_coding,NC_003552.1,94605,96728,+
MA_RS00420,MA0081,"MA0081,MA_0081",ppk1,protein_coding,NC_003552.1,97563,99749,+
MA_RS00425,MA0083,"MA0083,MA_0083",MA_RS00425,protein_coding,NC_003552.1,100217,101848,+
MA_RS00430,MA0084,"MA0084,MA_0084",MA_RS00430,protein_coding,NC_003552.1,101895,104516,-
MA_RS00435,MA0085,"MA0085,MA_0085",MA_RS00435,protein_coding,NC_003552.1,105273,106394,+
MA_RS00440,MA0086,"MA0086,MA_0086",thsB,protein_coding,NC_003552.1,106733,108391,-
MA_RS00445,MA0087,"MA0087,MA_0087",dnaK,protein_coding,NC_003552.1,109126,110610,+
MA_RS00450,MA0088,"MA0088,MA_0088",MA_RS00450,protein_coding,NC_003552.1,110763,111479,+
MA_RS00455,MA0089,"MA0089,MA_0089",MA_RS00455,protein_coding,NC_003552.1,111532,112200,-
MA_RS00460,MA0090,"MA0090,MA_0090",sepS,protein_coding,NC_003552.1,112231,113850,-
MA_RS00465,MA0091,"MA0091,MA_0091",MA_RS00465,protein_coding,NC_003552.1,114214,114846,-
MA_RS00470,MA0092,"MA0092,MA_0092",MA_RS00470,protein_coding,NC_003552.1,115645,115917,-
MA_RS00475,MA0093,"MA0093,MA_0093",MA_RS00475,protein_coding,NC_003552.1,116164,116844,+
MA_RS26365,,,MA_RS26365,protein_coding,NC_003552.1,117511,117672,-
MA_RS00485,,,MA_RS00485,protein_coding,NC_003552.1,117748,117930,+
MA_RS00490,MA0095,"MA0095,MA_0095",MA_RS00490,protein_coding,NC_003552.1,118418,119704,-
MA_RS00495,MA0096,"MA0096,MA_0096",MA_RS00495,protein_coding,NC_003552.1,119810,122275,-
MA_RS00500,MA0097,"MA0097,MA_0097",glyS,protein_coding,NC_003552.1,122464,124302,-
MA_RS00505,MA0098,"MA0098,MA_0098",MA_RS00505,protein_coding,NC_003552.1,124580,125614,+
MA_RS00510,,,MA_RS00510,protein_coding,NC_003552.1,125616,125894,+
MA_RS00515,MA0099,"MA0099,MA_0099",MA_RS00515,protein_coding,NC_003552.1,125996,126307,+
MA_RS00525,MA0100,"MA0100,MA_0100",MA_RS00525,protein_coding,NC_003552.1,126603,126923,+
MA_RS00530,MA0101,"MA0101,MA_0101",MA_RS00530,protein_coding,NC_003552.1,126920,127279,+
MA_RS00535,MA0102,"MA0102,MA_0102",MA_RS00535,protein_coding,NC_003552.1,127336,127620,+
MA_RS00540,,,MA_RS00540,protein_coding,NC_003552.1,128111,128293,+
MA_RS00545,MA0103,"MA0103,MA_0103",MA_RS00545,protein_coding,NC_003552.1,128873,129463,-
MA_RS00550,MA0104,"MA0104,MA_0104",surE,protein_coding,NC_003552.1,129857,130660,+
MA_RS28020,,,MA_RS28020,protein_coding,NC_003552.1,130925,131086,-
MA_RS00555,MA0105,"MA0105,MA_0105",moaA,protein_coding,NC_003552.1,131199,132203,-
MA_RS00560,MA0106,"MA0106,MA_0106",MA_RS00560,protein_coding,NC_003552.1,132513,133832,+
MA_RS00565,MA0107,"MA0107,MA_0107",MA_RS00565,protein_coding,NC_003552.1,134083,134850,-
MA_RS00570,MA0108,"MA0108,MA_0108",MA_RS00570,protein_coding,NC_003552.1,135133,135597,+
MA_RS00575,MA0109,"MA0109,MA_0109",priL,protein_coding,NC_003552.1,135633,136748,-
MA_RS00580,MA0110,"MA0110,MA_0110",MA_RS00580,protein_coding,NC_003552.1,136756,137493,-
MA_RS00585,MA0112,"MA0112,MA_0112",MA_RS00585,protein_coding,NC_003552.1,137806,138120,-
MA_RS00590,MA0113,"MA0113,MA_0113",MA_RS00590,protein_coding,NC_003552.1,138098,138514,-
MA_RS00595,MA0114,"MA0114,MA_0114",artA,protein_coding,NC_003552.1,139482,140351,+
MA_RS00600,MA0115,"MA0115,MA_0115",MA_RS00600,protein_coding,NC_003552.1,140357,140983,+
MA_RS00605,MA0116,"MA0116,MA_0116",MA_RS00605,protein_coding,NC_003552.1,140985,141728,+
MA_RS00610,MA0117,"MA0117,MA_0117",MA_RS00610,protein_coding,NC_003552.1,142032,142388,+
MA_RS00615,MA0118,"MA0118,MA_0118",hisC,protein_coding,NC_003552.1,142443,143543,-
MA_RS00620,MA0119,"MA0119,MA_0119",MA_RS00620,protein_coding,NC_003552.1,143524,144711,-
MA_RS00630,MA0120,"MA0120,MA_0120",MA_RS00630,protein_coding,NC_003552.1,145267,146253,-
MA_RS00635,MA0121,"MA0121,MA_0121",MA_RS00635,protein_coding,NC_003552.1,146736,147269,-
MA_RS00640,MA0122,"MA0122,MA_0122",MA_RS00640,protein_coding,NC_003552.1,147571,148677,+
MA_RS00645,MA0123,"MA0123,MA_0123",MA_RS00645,protein_coding,NC_003552.1,148799,149881,+
MA_RS00650,MA0124,"MA0124,MA_0124",MA_RS00650,protein_coding,NC_003552.1,150169,151299,+
MA_RS00655,MA0125,"MA0125,MA_0125",MA_RS00655,protein_coding,NC_003552.1,151346,151912,+
MA_RS00665,MA0126,"MA0126,MA_0126",MA_RS00665,protein_coding,NC_003552.1,152362,152664,-
MA_RS00670,MA0127,"MA0127,MA_0127",MA_RS00670,protein_coding,NC_003552.1,153013,154401,-
MA_RS00675,MA0128,"MA0128,MA_0128",MA_RS00675,protein_coding,NC_003552.1,154898,155356,+
MA_RS00680,MA0129,"MA0129,MA_0129",MA_RS00680,protein_coding,NC_003552.1,155353,155727,+
MA_RS00685,MA0130,"MA0130,MA_0130",purM,protein_coding,NC_003552.1,155973,156974,-
MA_RS00690,MA0131,"MA0131,MA_0131",MA_RS00690,protein_coding,NC_003552.1,156997,158415,-
MA_RS00695,MA0132,"MA0132,MA_0132",MA_RS00695,protein_coding,NC_003552.1,158892,160085,+
MA_RS00700,MA0133,"MA0133,MA_0133",MA_RS00700,protein_coding,NC_003552.1,160448,160909,+
MA_RS00705,MA0134,"MA0134,MA_0134",MA_RS00705,protein_coding,NC_003552.1,161227,161625,-
MA_RS00710,MA0135,"MA0135,MA_0135",MA_RS00710,protein_coding,NC_003552.1,162129,162893,+
MA_RS00715,MA0136,"MA0136,MA_0136",MA_RS00715,protein_coding,NC_003552.1,163006,163458,-
MA_RS00720,MA0137,"MA0137,MA_0137",MA_RS00720,protein_coding,NC_003552.1,163825,164277,-
MA_RS00725,MA0138,"MA0138,MA_0138",MA_RS00725,protein_coding,NC_003552.1,164671,165576,+
MA_RS00730,MA0139,"MA0139,MA_0139",MA_RS00730,protein_coding,NC_003552.1,165573,167285,+
MA_RS00735,MA0140,"MA0140,MA_0140",MA_RS00735,protein_coding,NC_003552.1,167353,168378,+
MA_RS00740,MA0141,"MA0141,MA_0141",MA_RS00740,protein_coding,NC_003552.1,168981,169217,-
MA_RS00745,MA0142,"MA0142,MA_0142",MA_RS00745,protein_coding,NC_003552.1,169231,169500,-
MA_RS00750,MA0143,"MA0143,MA_0143",MA_RS00750,protein_coding,NC_003552.1,169487,170893,-
MA_RS00765,MA0145,"MA0145,MA_0145",MA_RS00765,protein_coding,NC_003552.1,172589,173245,-
MA_RS00775,MA0146,"MA0146,MA_0146",mtbA,protein_coding,NC_003552.1,174232,175251,-
MA_RS00780,MA0147,"MA0147,MA_0147",MA_RS00780,protein_coding,NC_003552.1,175643,176245,+
MA_RS00785,MA0148,"MA0148,MA_0148",MA_RS00785,protein_coding,NC_003552.1,176345,177046,+
MA_RS00790,MA0149,"MA0149,MA_0149",MA_RS00790,protein_coding,NC_003552.1,177173,178477,+
MA_RS00795,MA0150,"MA0150,MA_0150",MA_RS00795,protein_coding,NC_003552.1,178886,180508,+
MA_RS24920,,,MA_RS24920,protein_coding,NC_003552.1,180608,180763,+
MA_RS26380,,,MA_RS26380,protein_coding,NC_003552.1,180778,180951,+
MA_RS24320,,,MA_RS24320,protein_coding,NC_003552.1,181135,181320,+
MA_RS00805,MA0151,"MA0151,MA_0151",MA_RS00805,protein_coding,NC_003552.1,181379,182416,-
MA_RS00810,MA0152,"MA0152,MA_0152",pylD,protein_coding,NC_003552.1,183063,183842,-
MA_RS00815,MA0153,"MA0153,MA_0153",pylC,protein_coding,NC_003552.1,183918,185009,-
MA_RS00820,MA0154,"MA0154,MA_0154",pylB,protein_coding,NC_003552.1,185011,186063,-
MA_RS00825,MA0155,"MA0155,MA_0155",pylS,protein_coding,NC_003552.1,186300,187631,-
MA_RS00835,MA0156,"MA0156,MA_0156",MA_RS00835,protein_coding,NC_003552.1,188205,188921,-
MA_RS00840,MA0157,"MA0157,MA_0157",MA_RS00840,protein_coding,NC_003552.1,189056,189550,+
MA_RS00845,MA0158,"MA0158,MA_0158",MA_RS00845,protein_coding,NC_003552.1,189736,190125,+
MA_RS00850,MA0159,"MA0159,MA_0159",MA_RS00850,protein_coding,NC_003552.1,190535,190750,+
MA_RS00855,MA0160,"MA0160,MA_0160",MA_RS00855,protein_coding,NC_003552.1,190783,191763,+
MA_RS00860,MA0161,"MA0161,MA_0161",MA_RS00860,protein_coding,NC_003552.1,191991,192494,-
MA_RS00865,MA0162,"MA0162,MA_0162",MA_RS00865,protein_coding,NC_003552.1,192549,193001,-
MA_RS00870,MA0163,"MA0163,MA_0163",MA_RS00870,protein_coding,NC_003552.1,193154,194119,+
MA_RS00875,,,MA_RS00875,protein_coding,NC_003552.1,194116,194373,+
MA_RS00880,MA0164,"MA0164,MA_0164",MA_RS00880,protein_coding,NC_003552.1,194495,195154,-
MA_RS00885,MA0165,"MA0165,MA_0165",MA_RS00885,protein_coding,NC_003552.1,195151,196425,-
MA_RS00890,,,MA_RS00890,protein_coding,NC_003552.1,196662,196874,+
MA_RS00900,MA0166,"MA0166,MA_0166",MA_RS00900,protein_coding,NC_003552.1,198400,200520,+
MA_RS00905,MA0167,"MA0167,MA_0167",MA_RS00905,protein_coding,NC_003552.1,200788,201402,+
MA_RS00910,MA0168,"MA0168,MA_0168",MA_RS00910,protein_coding,NC_003552.1,201460,201678,-
MA_RS00915,MA0169,"MA0169,MA_0169",MA_RS00915,protein_coding,NC_003552.1,201866,203218,-
MA_RS00920,MA0170,"MA0170,MA_0170",MA_RS00920,protein_coding,NC_003552.1,203500,204366,+
MA_RS00930,MA0171,"MA0171,MA_0171",MA_RS00930,protein_coding,NC_003552.1,204617,206095,-
MA_RS00935,MA0172,"MA0172,MA_0172",MA_RS00935,protein_coding,NC_003552.1,206242,207555,-
MA_RS00940,MA0173,"MA0173,MA_0173",MA_RS00940,protein_coding,NC_003552.1,207902,208306,+
MA_RS28275,,,MA_RS28275,protein_coding,NC_003552.1,208308,208454,+
MA_RS00945,MA0174,"MA0174,MA_0174",MA_RS00945,protein_coding,NC_003552.1,208412,208726,+
MA_RS00950,MA0175,"MA0175,MA_0175",MA_RS00950,protein_coding,NC_003552.1,208746,209960,-
MA_RS00955,MA0176,"MA0176,MA_0176",MA_RS00955,protein_coding,NC_003552.1,210731,211183,-
MA_RS00960,MA0177,"MA0177,MA_0177",MA_RS00960,protein_coding,NC_003552.1,211294,211761,-
MA_RS00965,MA0178,"MA0178,MA_0178",MA_RS00965,protein_coding,NC_003552.1,211831,212391,-
MA_RS00970,MA0179,"MA0179,MA_0179",MA_RS00970,protein_coding,NC_003552.1,212804,213361,-
MA_RS00975,MA0180,"MA0180,MA_0180",MA_RS00975,protein_coding,NC_003552.1,213728,214198,+
MA_RS00980,MA0181,"MA0181,MA_0181",MA_RS00980,protein_coding,NC_003552.1,214216,215448,+
MA_RS00985,MA0182,"MA0182,MA_0182",MA_RS00985,protein_coding,NC_003552.1,215848,216456,-
MA_RS00990,MA0183,"MA0183,MA_0183",MA_RS00990,protein_coding,NC_003552.1,216495,217016,-
MA_RS00995,MA0184,"MA0184,MA_0184",MA_RS00995,protein_coding,NC_003552.1,217323,218444,-
MA_RS01000,MA0185,"MA0185,MA_0185",MA_RS01000,protein_coding,NC_003552.1,218588,220432,-
MA_RS01005,MA0186,"MA0186,MA_0186",MA_RS01005,protein_coding,NC_003552.1,220724,221497,+
MA_RS01010,MA0187,"MA0187,MA_0187",MA_RS01010,protein_coding,NC_003552.1,221645,222184,+
MA_RS24325,MA_0188,MA_0188,MA_RS24325,protein_coding,NC_003552.1,222273,225017,-
MA_RS01020,MA0189,"MA0189,MA_0189",MA_RS01020,protein_coding,NC_003552.1,225245,228481,+
MA_RS01025,MA0190,"MA0190,MA_0190",MA_RS01025,protein_coding,NC_003552.1,228483,229421,+
MA_RS01030,MA0191,"MA0191,MA_0191",MA_RS01030,protein_coding,NC_003552.1,229690,230487,-
MA_RS01035,MA0192,"MA0192,MA_0192",MA_RS01035,protein_coding,NC_003552.1,230904,231164,+
MA_RS01040,MA0193,"MA0193,MA_0193",MA_RS01040,protein_coding,NC_003552.1,231399,231647,-
MA_RS01045,MA0194,"MA0194,MA_0194",alaS,protein_coding,NC_003552.1,231952,234729,+
MA_RS01050,MA0195,"MA0195,MA_0195",MA_RS01050,protein_coding,NC_003552.1,235213,236253,-
MA_RS01055,,,MA_RS01055,protein_coding,NC_003552.1,236515,236817,-
MA_RS01060,MA0197,"MA0197,MA_0197",MA_RS01060,protein_coding,NC_003552.1,237053,237397,-
MA_RS01065,MA0198,"MA0198,MA_0198",MA_RS01065,protein_coding,NC_003552.1,237707,238117,-
MA_RS01070,MA0199,"MA0199,MA_0199",MA_RS01070,protein_coding,NC_003552.1,238499,239620,-
MA_RS01075,MA0200,"MA0200,MA_0200",MA_RS01075,protein_coding,NC_003552.1,240415,240720,-
MA_RS01080,MA0201,"MA0201,MA_0201",MA_RS01080,protein_coding,NC_003552.1,240902,242029,-
MA_RS01085,MA0202,"MA0202,MA_0202",MA_RS01085,protein_coding,NC_003552.1,242125,242613,-
MA_RS01090,MA0203,"MA0203,MA_0203",MA_RS01090,protein_coding,NC_003552.1,243156,246950,+
MA_RS01095,MA0204,"MA0204,MA_0204",MA_RS01095,protein_coding,NC_003552.1,247160,248497,-
MA_RS01100,MA0205,"MA0205,MA_0205",MA_RS01100,protein_coding,NC_003552.1,249118,249978,+
MA_RS28280,,,MA_RS28280,protein_coding,NC_003552.1,249965,250126,+
MA_RS01105,MA0206,"MA0206,MA_0206",MA_RS01105,protein_coding,NC_003552.1,250245,251315,-
MA_RS01110,MA0207,"MA0207,MA_0207",MA_RS01110,protein_coding,NC_003552.1,251515,252498,+
MA_RS01115,MA0208,"MA0208,MA_0208",truA,protein_coding,NC_003552.1,252510,253319,+
MA_RS01120,MA0209,"MA0209,MA_0209",MA_RS01120,protein_coding,NC_003552.1,253737,254801,-
MA_RS01125,MA0210,"MA0210,MA_0210",MA_RS01125,protein_coding,NC_003552.1,255098,255385,-
MA_RS01130,MA0211,"MA0211,MA_0211",MA_RS01130,protein_coding,NC_003552.1,255426,256229,-
MA_RS01135,MA0212,"MA0212,MA_0212",map,protein_coding,NC_003552.1,256280,257170,-
MA_RS01140,MA0213,"MA0213,MA_0213",MA_RS01140,protein_coding,NC_003552.1,257371,258555,-
MA_RS01145,MA0214,"MA0214,MA_0214",MA_RS01145,protein_coding,NC_003552.1,258675,259343,-
MA_RS01150,MAt4685,MAt4685,MA_RS01150,tRNA,NC_003552.1,259696,259768,-
MA_RS01155,MAt4686,MAt4686,MA_RS01155,tRNA,NC_003552.1,259880,259992,-
MA_RS01160,MA0215,"MA0215,MA_0215",MA_RS01160,protein_coding,NC_003552.1,260214,260552,+
MA_RS01165,MA0216,"MA0216,MA_0216",MA_RS01165,protein_coding,NC_003552.1,261213,262409,-
MA_RS01170,MA0217,"MA0217,MA_0217",hisG,protein_coding,NC_003552.1,262974,263843,+
MA_RS01175,MA0218,"MA0218,MA_0218",hisA,protein_coding,NC_003552.1,263960,264697,+
MA_RS01180,MA0219,"MA0219,MA_0219",hisB,protein_coding,NC_003552.1,264755,265330,+
MA_RS01185,MA0220,"MA0220,MA_0220",MA_RS01185,protein_coding,NC_003552.1,265520,266245,-
MA_RS24330,MA_0221,MA_0221,MA_RS24330,protein_coding,NC_003552.1,266357,267910,-
MA_RS01195,MA0222,"MA0222,MA_0222",MA_RS01195,protein_coding,NC_003552.1,268090,269016,-
MA_RS01200,MA0223,"MA0223,MA_0223",MA_RS01200,protein_coding,NC_003552.1,269064,270074,-
MA_RS01205,MA0224,"MA0224,MA_0224",MA_RS01205,protein_coding,NC_003552.1,270372,270833,+
MA_RS24335,MA_0225,MA_0225,MA_RS24335,protein_coding,NC_003552.1,271766,272872,+
MA_RS01215,MA0226,"MA0226,MA_0226",MA_RS01215,protein_coding,NC_003552.1,272895,273158,-
MA_RS01220,MA0227,"MA0227,MA_0227",MA_RS01220,protein_coding,NC_003552.1,273162,273911,-
MA_RS01225,MA0228,"MA0228,MA_0228",MA_RS01225,protein_coding,NC_003552.1,273899,274729,-
MA_RS01230,MA0229,"MA0229,MA_0229",MA_RS01230,protein_coding,NC_003552.1,275092,276009,-
MA_RS24925,MA_0230,MA_0230,MA_RS24925,protein_coding,NC_003552.1,276030,276950,-
MA_RS01240,MA0231,"MA0231,MA_0231",MA_RS01240,protein_coding,NC_003552.1,277044,277403,-
MA_RS01245,MA0232,"MA0232,MA_0232",MA_RS01245,protein_coding,NC_003552.1,277529,278014,-
MA_RS01250,MA0233,"MA0233,MA_0233",MA_RS01250,protein_coding,NC_003552.1,278024,280012,-
MA_RS01255,MA0234,"MA0234,MA_0234",MA_RS01255,protein_coding,NC_003552.1,280023,281699,-
MA_RS01260,MA0235,"MA0235,MA_0235",MA_RS01260,protein_coding,NC_003552.1,282243,282728,-
MA_RS01265,MA0236,"MA0236,MA_0236",MA_RS01265,protein_coding,NC_003552.1,282852,284033,-
MA_RS01270,,,MA_RS01270,protein_coding,NC_003552.1,284077,284376,-
MA_RS01275,MA0238,"MA0238,MA_0238",MA_RS01275,protein_coding,NC_003552.1,284699,285247,-
MA_RS01280,MA0239,"MA0239,MA_0239",MA_RS01280,protein_coding,NC_003552.1,285315,285776,-
MA_RS01285,MA0240,"MA0240,MA_0240",larE,protein_coding,NC_003552.1,285856,286701,-
MA_RS01290,MA0241,"MA0241,MA_0241",glmM,protein_coding,NC_003552.1,287013,288359,+
MA_RS01295,MA0242,"MA0242,MA_0242",MA_RS01295,protein_coding,NC_003552.1,289325,290446,-
MA_RS01300,MA0243,"MA0243,MA_0243",MA_RS01300,protein_coding,NC_003552.1,290520,291626,-
MA_RS01305,MA0244,"MA0244,MA_0244",MA_RS01305,protein_coding,NC_003552.1,291736,292170,-
MA_RS01310,MA0245,"MA0245,MA_0245",MA_RS01310,protein_coding,NC_003552.1,292157,293362,-
MA_RS01315,MA0246,"MA0246,MA_0246",MA_RS01315,protein_coding,NC_003552.1,293589,294857,-
MA_RS01320,MA0247,"MA0247,MA_0247",MA_RS01320,protein_coding,NC_003552.1,295222,296991,+
MA_RS01325,MA0248,"MA0248,MA_0248",MA_RS01325,protein_coding,NC_003552.1,297112,297936,+
MA_RS01330,MA0249,"MA0249,MA_0249",MA_RS01330,protein_coding,NC_003552.1,298201,299268,-
MA_RS01335,MA0250,"MA0250,MA_0250",acnA,protein_coding,NC_003552.1,299683,302484,-
MA_RS01340,MA0251,"MA0251,MA_0251",MA_RS01340,protein_coding,NC_003552.1,303050,304429,-
MA_RS01345,MA0252,"MA0252,MA_0252",MA_RS01345,protein_coding,NC_003552.1,304839,305564,+
MA_RS01350,MA0253,"MA0253,MA_0253",MA_RS01350,protein_coding,NC_003552.1,305577,307301,-
MA_RS01355,MA0254,"MA0254,MA_0254",MA_RS01355,protein_coding,NC_003552.1,307346,308860,-
